@relation 'D:\\Datasets\\datasets 2015\\libsvm\\svmguide1.dat-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute att_1 numeric
@attribute att_2 numeric
@attribute att_3 numeric
@attribute att_4 numeric
@attribute class {0,1}

@data
{0 61.43698,1 233.85,2 0.275873,3 161.2433,4 1}
{0 59.52499,1 217.67,2 -0.08601,3 117.0831,4 1}
{0 29.1585,1 125.9875,2 0.191046,3 127.9927,4 1}
{0 50.59702,1 243.062,2 0.186344,3 135.2273,4 1}
{0 60.24097,1 197.734,2 -0.131992,3 132.022,4 1}
{0 26.2049,1 62.7079,2 -0.140245,3 113.5866,4 1}
{0 28.47198,1 148.376,2 -0.186825,3 167.2337,4 1}
{0 27.0799,1 77.7039,2 -0.250924,3 97.98032,4 1}
{0 20.686,1 84.468,2 0.176178,3 119.9423,4 1}
{0 19.6245,1 49.2309,2 0.430273,3 93.61318,4 1}
{0 49.61401,1 323.485,2 -0.196374,3 162.2486,4 1}
{0 79.82401,1 201.754,2 -0.141216,3 131.0716,4 1}
{0 66.96402,1 221.403,2 -0.118778,3 141.6626,4 1}
{0 58.42999,1 134.861,2 0.287608,3 128.6684,4 1}
{0 69.82007,1 369.3401,2 -0.153985,3 151.1659,4 1}
{0 19.022,1 221.012,2 0.168945,3 136.8066,4 1}
{0 45.82898,1 221.595,2 0.241912,3 162.71,4 1}
{0 50.12195,1 340.594,2 -0.200418,3 173.5482,4 1}
{0 97.3279,1 83.6299,2 0.300452,3 92.68482,4 1}
{0 62.138,1 244.5,2 -0.204553,3 144.239,4 1}
{0 24.457,1 142.604,2 -0.230238,3 91.75098,4 1}
{0 37.86899,1 197.708,2 0.094177,3 110.7027,4 1}
{0 123.73,1 178.77,2 -0.144144,3 130.352,4 1}
{0 41.8037,1 121.0217,2 -0.179296,3 140.4431,4 1}
{0 32.3706,1 102.0206,2 -0.085791,3 125.3724,4 1}
{0 37.9575,1 67.9255,2 -0.209999,3 152.0504,4 1}
{0 36.256,1 90.028,2 -0.134939,3 139.8553,4 1}
{0 23.5141,1 153.6969,2 -0.116901,3 117.8439,4 1}
{0 25.043,1 195.966,2 0.123079,3 105.0391,4 1}
{0 21.51999,1 103,2 0.298268,3 124.8862,4 1}
{0 20.7173,1 50.1779,2 0.163616,3 118.7613,4 1}
{0 20.5763,1 65.2607,2 0.323719,3 114.1607,4 1}
{0 23.78099,1 129.774,2 0.159678,3 107.5001,4 1}
{0 56.26801,1 188.294,2 -0.136113,3 140.0558,4 1}
{0 23.642,1 151.537,2 -0.218909,3 91.83887,4 1}
{0 31.36601,1 91.29401,2 0.218425,3 142.0142,4 1}
{0 55.93298,1 308.106,2 -0.135305,3 156.4504,4 1}
{0 45.746,1 188.873,2 0.09066,3 129.8741,4 1}
{0 22.548,1 144.287,2 0.15148,3 117.9153,4 1}
{0 43.43298,1 201.142,2 -0.185078,3 136.0046,4 1}
{0 19.02501,1 100.994,2 0.223226,3 122.3841,4 1}
{0 29.56006,1 56.53003,2 0.278421,3 164.6464,4 1}
{0 33.14001,1 214.8301,2 -0.113854,3 94.21469,4 1}
{0 28.3723,1 52.6541,2 -0.376549,3 134.9389,4 1}
{0 22.81599,1 68.18298,2 0.208807,3 162.9902,4 1}
{0 107.96,1 426.329,2 0.183656,3 161.2625,4 1}
{0 25.9741,1 79.5938,2 -0.246159,3 98.93889,4 1}
{0 48.3483,1 179.8393,2 -0.318316,3 174.3914,4 1}
{0 19.7492,1 45.8642,2 -0.196464,3 134.1424,4 1}
{0 41.04199,1 161.264,2 0.159151,3 111.8727,4 1}
{0 24.9733,1 117.708,2 -0.305116,3 164.3772,4 1}
{0 21.8378,1 17.2425,2 -0.409368,3 107.8929,4 1}
{0 90.125,1 105.859,2 0.167517,3 166.9783,4 1}
{0 19.8109,1 86.19101,2 0.28915,3 150.8858,4 1}
{0 133.704,1 423.4241,2 -0.139714,3 168.7031,4 1}
{0 25.72598,1 199.071,2 -0.219452,3 91.55596,4 1}
{0 30.9354,1 97.29181,2 -0.096737,3 148.2518,4 1}
{0 29.211,1 176.555,2 0.354054,3 152.2124,4 1}
{0 31.4923,1 71.82829,2 -0.176022,3 123.4992,4 1}
{0 21.644,1 73.9961,2 -0.264831,3 157.1783,4 1}
{0 20.8785,1 92.2616,2 0.146919,3 119.0167,4 1}
{0 25.478,1 116.22,2 -0.150949,3 103.902,4 1}
{0 24.42801,1 149.011,2 -0.091401,3 160.8258,4 1}
{0 101.7999,1 143.13,2 0.156145,3 146.4445,4 1}
{0 133.717,1 530.427,2 -0.144182,3 150.1387,4 1}
{0 21.668,1 71.211,2 0.22868,3 104.5063,4 1}
{0 18.82098,1 87.70099,2 0.109375,3 69.35226,4 1}
{0 43.10399,1 205.986,2 0.176378,3 160.2271,4 1}
{0 33,1 190.282,2 -0.143358,3 147.0817,4 1}
{0 29.858,1 112.33,2 -0.159683,3 93.77798,4 1}
{0 30.45,1 131.288,2 -0.144963,3 97.56283,4 1}
{0 87.06299,1 308.712,2 -0.164229,3 159.7162,4 1}
{0 64.33502,1 177.46,2 0.143106,3 127.2456,4 1}
{0 29.39799,1 145.365,2 -0.248778,3 146.5296,4 1}
{0 24.971,1 86.212,2 0.208448,3 144.791,4 1}
{0 21.882,1 104.326,2 -0.192916,3 154.4893,4 1}
{0 26.32098,1 225.844,2 -0.137646,3 86.96635,4 1}
{0 23.9763,1 60.1777,2 -0.392868,3 155.3271,4 1}
{0 36.33099,1 132.271,2 -0.13389,3 104.564,4 1}
{0 22.55,1 99.0742,2 0.235968,3 99.85901,4 1}
{0 22.8266,1 77.73849,2 -0.164731,3 122.3429,4 1}
{0 59.342,1 174.813,2 -0.206477,3 157.2909,4 1}
{0 87.79102,1 197.525,2 -0.07854,3 152.4239,4 1}
{0 23.5682,1 78.0788,2 -0.233137,3 135.9661,4 1}
{0 27.13199,1 102.757,2 -0.251255,3 95.90387,4 1}
{0 27.2091,1 46.9291,2 -0.203389,3 108.4065,4 1}
{0 21.901,1 168.932,2 0.244744,3 131.3683,4 1}
{0 23.48599,1 266.225,2 0.128268,3 156.9778,4 1}
{0 32.022,1 149.33,2 -0.09874,3 111.3344,4 1}
{0 25.48297,1 208.115,2 0.167011,3 136.845,4 1}
{0 21.5758,1 104.7904,2 -0.167391,3 129.3687,4 1}
{0 26.77801,1 131.898,2 0.137458,3 111.296,4 1}
{0 73.80501,1 171.091,2 0.171352,3 155.2502,4 1}
{0 79.06,1 382.3521,2 -0.121901,3 145.2937,4 1}
{0 201.17,1 341.52,2 -0.165754,3 161.2845,4 1}
{0 30.41699,1 124.113,2 0.384531,3 179.9615,4 1}
{0 63.22702,1 176.913,2 -0.126338,3 124.4193,4 1}
{0 137.34,1 250.1899,2 -0.159046,3 146.84,4 1}
{0 34.758,1 153.46,2 0.218356,3 101.1032,4 1}
{0 50.754,1 140.167,2 0.308763,3 156.7828,4 1}
{0 26.211,1 75.754,2 -0.296508,3 164.2646,4 1}
{0 22.00301,1 115.296,2 -0.196353,3 147.1009,4 1}
{0 26.7498,1 59.7091,2 0.211846,3 123.219,4 1}
{0 22.20599,1 132.477,2 0.160548,3 91.65759,4 1}
{0 23.99802,1 73.11502,2 0.29084,3 149.7734,4 1}
{1 118.287,2 -0.155927,3 151.5312,4 1}
{0 39.263,1 191.421,2 0.115858,3 130.0993,4 1}
{0 28.23301,1 150.484,2 0.244699,3 92.58045,4 1}
{0 91.146,1 372.908,2 -0.206971,3 145.0822,4 1}
{0 20.8704,1 63.3006,2 -0.26459,3 110.8483,4 1}
{0 30.02899,1 136.845,2 0.292224,3 150.3117,4 1}
{0 25.89301,1 166.133,2 0.225785,3 128.6079,4 1}
{0 26.8119,1 96.10239,2 -0.236404,3 138.8089,4 1}
{0 121.3398,1 104.4128,2 -0.153619,3 157.8045,4 1}
{0 24.51801,1 42.61099,2 0.267639,3 108.4697,4 1}
{0 21.664,1 87.076,2 0.239818,3 100.6033,4 1}
{0 27.0542,1 114.9732,2 -0.286781,3 129.4292,4 1}
{0 36.93901,1 112.141,2 0.131234,3 114.6249,4 1}
{0 25.20599,1 197.985,2 0.234747,3 105.0089,4 1}
{0 27.19702,1 200.046,2 -0.163567,3 139.295,4 1}
{0 50.75998,1 279.995,2 -0.116506,3 157.6013,4 1}
{0 36.44098,1 225.614,2 -0.109129,3 108.423,4 1}
{0 22.7167,1 61.42069,2 -0.143114,3 114.5342,4 1}
{0 60.18201,1 156.243,2 0.251096,3 154.3905,4 1}
{0 23.612,1 142.554,2 0.198886,3 98.82353,4 1}
{0 24.069,1 67.991,2 0.207844,3 134.7686,4 1}
{0 45.47998,1 227.1801,2 0.16246,3 122.8867,4 1}
{0 68.40991,1 155.49,2 -0.138894,3 144.0769,4 1}
{0 108.469,1 34.21301,2 0.240567,3 134.3593,4 1}
{0 21.07101,1 75.718,2 0.222171,3 134.9142,4 1}
{0 25.44891,1 49.2227,2 0.205276,3 116.5338,4 1}
{0 42.7215,1 94.3934,2 -0.355833,3 176.0723,4 1}
{0 97.20501,1 172.365,2 -0.090055,3 151.284,4 1}
{0 42.59998,1 181.718,2 0.055473,3 165.6928,4 1}
{0 33.09601,1 129.194,2 -0.157092,3 115.6988,4 1}
{0 51.13,1 274.75,2 -0.132566,3 131.8462,4 1}
{0 80.22101,1 252.343,2 -0.168714,3 123.1476,4 1}
{0 42.513,1 155.459,2 -0.08624,3 111.3069,4 1}
{0 32.39101,1 97.23399,2 0.272189,3 163.4049,4 1}
{0 30.407,1 218.479,2 0.284278,3 152.7095,4 1}
{0 57.24298,1 277.317,2 -0.197112,3 143.1293,4 1}
{0 73.41003,1 118.1801,2 0.142004,3 123.4635,4 1}
{0 48.40799,1 246.561,2 0.195921,3 133.7496,4 1}
{1 126.088,2 -0.172719,3 109.1865,4 1}
{0 41.32901,1 161.773,2 0.144607,3 97.20302,4 1}
{0 77.32703,1 329.416,2 0.203513,3 136.4001,4 1}
{0 25.789,1 191.669,2 -0.185547,3 121.8567,4 1}
{0 35.04501,1 144.243,2 -0.064426,3 113.9272,4 1}
{0 21.2079,1 56.9959,2 0.49196,3 93.19295,4 1}
{0 32.217,1 96.265,2 0.108728,3 141.5802,4 1}
{0 161.83,1 240.38,2 -0.181251,3 155.2419,4 1}
{0 156.482,1 509.043,2 -0.167232,3 175.3609,4 1}
{0 31.26401,1 181.29,2 0.297903,3 143.0359,4 1}
{0 24.9938,1 99.76479,2 0.281292,3 88.02106,4 1}
{0 28.022,1 81.88501,2 -0.246659,3 103.545,4 1}
{0 34.60699,1 201.837,2 0.287296,3 152.5722,4 1}
{0 35.854,1 223.529,2 -0.079384,3 159.6777,4 1}
{0 53.694,1 146.475,2 -0.134849,3 135.826,4 1}
{0 51.26001,1 67.65991,2 0.177073,3 125.0675,4 1}
{0 75.78003,1 49.96997,2 0.091511,3 133.4337,4 1}
{0 22.4451,1 37.6895,2 -0.201498,3 134.3154,4 1}
{0 37.79999,1 231.082,2 -0.170163,3 147.0185,4 1}
{0 25.237,1 154.203,2 0.218927,3 93.19295,4 1}
{0 35.08501,1 155.11,2 0.194625,3 131.2419,4 1}
{0 23.627,1 92.679,2 -0.082338,3 98.18906,4 1}
{0 29.20203,1 187.233,2 -0.16709,3 90.03983,4 1}
{0 56.142,1 246.801,2 0.198183,3 147.9359,4 1}
{0 96.06995,1 162.0399,2 0.161252,3 142.602,4 1}
{0 35.33398,1 119.967,2 0.14126,3 142.0417,4 1}
{0 128.1,1 381.53,2 -0.181733,3 176.1575,4 1}
{0 29.7135,1 144.9665,2 -0.093236,3 143.0854,4 1}
{0 24.7665,1 111.8302,2 0.324458,3 167.1238,4 1}
{0 33.909,1 144.274,2 -0.111245,3 110.7219,4 1}
{0 24.672,1 99.96399,2 -0.175154,3 101.1719,4 1}
{0 20.03801,1 109.654,2 -0.199974,3 75.79584,4 1}
{0 31.33099,1 132.88,2 0.249446,3 105.5308,4 1}
{0 49.14499,1 244.814,2 -0.177957,3 143.415,4 1}
{0 23.75101,1 129.84,2 0.305094,3 88.63905,4 1}
{0 19.153,1 142.453,2 0.261971,3 127.3307,4 1}
{0 24.57199,1 60.627,2 -0.25913,3 107.9258,4 1}
{0 26.636,1 128.675,2 0.248295,3 141.594,4 1}
{0 25.328,1 81.23801,2 -0.244787,3 95.41772,4 1}
{0 19.881,1 69.692,2 0.364708,3 124.7846,4 1}
{0 19.7263,1 109.4343,2 -0.228353,3 154.4097,4 1}
{0 16.431,1 140.393,2 -0.22701,3 34.40971,4 1}
{0 16.789,1 128.108,2 0.419015,3 149.9052,4 1}
{0 24.7307,1 88.3701,2 -0.26004,3 106.8656,4 1}
{0 26.58501,1 251.462,2 -0.111585,3 166.6487,4 1}
{0 45.51797,1 182.305,2 0.111585,3 109.0053,4 1}
{0 51.978,1 122.143,2 0.059642,3 117.2259,4 1}
{0 80.54999,1 249.893,2 -0.212171,3 151.078,4 1}
{0 30.572,1 82.9572,2 0.296891,3 145.9474,4 1}
{0 32.2122,1 121.7376,2 0.079317,3 155.8929,4 1}
{0 55.59204,1 224.408,2 0.142292,3 153.6983,4 1}
{0 26.4551,1 38.1431,2 -0.151315,3 158.1231,4 1}
{0 78.15201,1 264.895,2 0.070708,3 142.1927,4 1}
{0 22.1237,1 78.8399,2 -0.159063,3 105.0034,4 1}
{0 62.89795,1 335.545,2 0.125759,3 150.9764,4 1}
{0 29.44101,1 133.357,2 0.307913,3 161.0071,4 1}
{0 20.9366,1 66.0649,2 -0.18626,3 146.7768,4 1}
{0 32.53003,1 42.87,2 -0.156035,3 110.5351,4 1}
{0 37.25897,1 230.846,2 -0.192971,3 151.9432,4 1}
{0 41.41301,1 180.032,2 0.188762,3 153.9263,4 1}
{0 22.7872,1 162.0099,2 -0.102085,3 114.7897,4 1}
{0 37.28799,1 178.754,2 0.142773,3 116.3772,4 1}
{0 75.78299,1 514.136,2 0.153751,3 160.5869,4 1}
{0 19.8673,1 62.1475,2 0.212662,3 115.3307,4 1}
{0 64.37598,1 373.5129,2 -0.117297,3 153.171,4 1}
{0 49.72501,1 229.877,2 -0.053631,3 116.4239,4 1}
{0 67.63501,1 162.362,2 -0.197689,3 139.1302,4 1}
{0 29.3048,1 102.4868,2 0.209372,3 150.6111,4 1}
{0 35.5376,1 129.8506,2 -0.132131,3 121.7551,4 1}
{0 148.4301,1 296.22,2 -0.164149,3 171.1861,4 1}
{0 46.29001,1 278.999,2 0.175861,3 140.4514,4 1}
{0 21.6742,1 80.222,2 0.313838,3 103.7043,4 1}
{0 41.7,1 139.596,2 -0.156474,3 145.6892,4 1}
{0 21.96001,1 184.829,2 -0.275161,3 88.08148,4 1}
{0 40.85199,1 205.657,2 0.124366,3 119.176,4 1}
{0 30.0762,1 95.32201,2 -0.075293,3 145.5518,4 1}
{0 27.28601,1 144.471,2 -0.104426,3 110.3072,4 1}
{0 29.2495,1 46.2495,2 0.257305,3 152.7013,4 1}
{0 24.8381,1 66.4681,2 -0.08956,3 137.4603,4 1}
{0 31.924,1 142.356,2 -0.096299,3 118.6075,4 1}
{0 22.39201,1 82.56401,2 0.287999,3 150.7924,4 1}
{0 23.2085,1 38.2578,2 0.205537,3 127.2016,4 1}
{0 23.8772,1 50.7041,2 -0.274851,3 97.20027,4 1}
{0 32.78497,1 180.912,2 0.210273,3 99.68597,4 1}
{0 20.0749,1 63.60471,2 0.136546,3 109.0712,4 1}
{0 31.66003,1 109.24,2 0.290799,3 157.0932,4 1}
{0 21.99419,1 87.33009,2 -0.12179,3 111.6695,4 1}
{0 21.23601,1 77.972,2 0.134528,3 84.61799,4 1}
{0 30.64697,1 250.963,2 0.225948,3 154.4015,4 1}
{0 67.35001,1 161.65,2 -0.162907,3 168.5329,4 1}
{0 40.70798,1 282.252,2 0.157944,3 145.0053,4 1}
{0 20.1113,1 55.71811,2 -0.258285,3 107.3738,4 1}
{0 33.4515,1 59.0685,2 -0.150939,3 135.1092,4 1}
{0 52.12,1 80.68994,2 0.119217,3 133.4255,4 1}
{0 42.04401,1 223.623,2 -0.096303,3 119.2886,4 1}
{0 30.15199,1 156.177,2 -0.074569,3 108.4587,4 1}
{0 87.78699,1 278.795,2 -0.15399,3 158.1588,4 1}
{0 23.957,1 101.655,2 0.218071,3 118.0993,4 1}
{0 119.84,1 351.6901,2 -0.167701,3 170.2495,4 1}
{0 38.0204,1 151.1344,2 -0.108652,3 136.1227,4 1}
{0 66.573,1 326.049,2 0.092517,3 131.4232,4 1}
{0 72.375,1 109.389,2 -0.17929,3 122.7356,4 1}
{0 72.38,1 156.17,2 -0.12978,3 158.0023,4 1}
{0 20.373,1 123.697,2 0.287141,3 137.6223,4 1}
{0 82.125,1 243.807,2 -0.148965,3 167.0222,4 1}
{0 18.4748,1 81.6796,2 -0.335225,3 165.6846,4 1}
{0 19.8338,1 61.888,2 0.342671,3 79.74548,4 1}
{0 22.181,1 51.453,2 0.159382,3 94.54704,4 1}
{0 39.0042,1 53.6024,2 -0.150517,3 114.1167,4 1}
{0 124.01,1 159.4501,2 -0.115688,3 133.8018,4 1}
{0 29.2604,1 99.5724,2 0.108635,3 140.2563,4 1}
{0 22.49402,1 224.318,2 0.111897,3 80.91554,4 1}
{0 20.68501,1 67.255,2 0.339127,3 95.19524,4 1}
{0 24.0428,1 98.6396,2 0.159803,3 138.2046,4 1}
{0 126.453,1 8.522003,2 0.362453,3 165.583,4 1}
{0 78.034,1 293.484,2 0.138085,3 152.8386,4 1}
{0 107.749,1 416.877,2 -0.162281,3 159.8041,4 1}
{0 26.81805,1 185.099,2 0.124127,3 96.40925,4 1}
{0 70.12,1 233.49,2 0.093408,3 159.9277,4 1}
{0 21.9116,1 28.7592,2 -0.11984,3 121.1151,4 1}
{0 34.103,1 153.657,2 0.181825,3 103.4022,4 1}
{0 168.5,1 328.7001,2 -0.163577,3 149.1197,4 1}
{0 21.6631,1 85.99489,2 0.34977,3 97.10414,4 1}
{0 57.034,1 110.574,2 -0.126934,3 130.3932,4 1}
{0 29.646,1 215.417,2 -0.134754,3 141.4731,4 1}
{0 21.5594,1 92.9074,2 0.141397,3 103.2538,4 1}
{0 21.79199,1 198.951,2 0.211182,3 134.3593,4 1}
{0 23.63901,1 131.233,2 -0.346692,3 147.48,4 1}
{0 57.67297,1 176.639,2 0.078006,3 122.7329,4 1}
{0 34.79102,1 213.839,2 -0.09729,3 137.1115,4 1}
{0 24.409,1 81.03299,2 -0.150669,3 141.4264,4 1}
{0 35.08203,1 266.098,2 0.063922,3 104.7013,4 1}
{0 65.30801,1 244.413,2 -0.097319,3 112.2023,4 1}
{0 21.9125,1 92.6382,2 -0.187804,3 110.211,4 1}
{0 129.9828,1 79.3958,2 -0.195603,3 151.1934,4 1}
{0 47.798,1 233.745,2 0.047877,3 132.217,4 1}
{0 48.13699,1 241.736,2 0.069066,3 103.2209,4 1}
{0 38.37399,1 342.486,2 0.164476,3 152.2866,4 1}
{0 113.9299,1 274.2,2 -0.278376,3 165.3687,4 1}
{0 25.89301,1 152.685,2 0.306356,3 98.6862,4 1}
{0 32.0573,1 76.31439,2 -0.244012,3 168.5713,4 1}
{0 48.20102,1 222.944,2 -0.178177,3 148.9522,4 1}
{0 28.2326,1 85.70309,2 0.160041,3 105.951,4 1}
{0 30.798,1 176.551,2 -0.075686,3 121.9968,4 1}
{0 23.827,1 131.212,2 0.491106,3 161.5647,4 1}
{0 33.826,1 89.224,2 -0.34053,3 163.6356,4 1}
{0 30.31903,1 103.784,2 -0.227993,3 138.0069,4 1}
{0 31.189,1 94.01399,2 0.460551,3 170.1643,4 1}
{0 44.89,1 130.229,2 -0.102298,3 141.0062,4 1}
{0 31.19397,1 56.98401,2 0.055494,3 97.49416,4 1}
{0 28.076,1 55.2305,2 0.297671,3 141.756,4 1}
{0 22.0404,1 81.48911,2 -0.100218,3 124.5127,4 1}
{0 53.90302,1 249.735,2 -0.153741,3 111.9222,4 1}
{0 23.2857,1 110.878,2 -0.295576,3 145.4173,4 1}
{0 66.64001,1 125.0699,2 -0.134674,3 147.6997,4 1}
{0 28.74301,1 101.285,2 0.139653,3 111.6997,4 1}
{0 35.2309,1 149.5759,2 -0.104619,3 144.5548,4 1}
{0 41.05501,1 153.411,2 0.180426,3 137.0373,4 1}
{0 22.416,1 51.8446,2 0.14811,3 118.6542,4 1}
{0 20.4691,1 72.0845,2 -0.322411,3 143.9643,4 1}
{0 29.66199,1 173.457,2 0.135017,3 119.9231,4 1}
{0 29.44701,1 144.551,2 0.262512,3 128.575,4 1}
{0 61.95105,1 263.96,2 -0.085491,3 165.767,4 1}
{0 75.97998,1 353.79,2 -0.274545,3 179.761,4 1}
{0 26.7713,1 115.1162,2 -0.280919,3 90.34196,4 1}
{0 26.26498,1 265.965,2 0.214857,3 91.22911,4 1}
{0 54.724,1 264.645,2 0.144631,3 162.515,4 1}
{0 35.476,1 210.752,2 0.113172,3 123.1559,4 1}
{1 102.072,2 0.190338,3 142.0142,4 1}
{0 19.72701,1 89.55602,2 0.275451,3 175.284,4 1}
{1 134.522,2 -0.188992,3 145.3486,4 1}
{0 63.241,1 261.38,2 -0.163819,3 157.2964,4 1}
{0 54.129,1 327.641,2 0.106152,3 136.5127,4 1}
{0 117.89,1 351.997,2 -0.14116,3 170.4417,4 1}
{0 54.91599,1 221.034,2 0.121415,3 142.0691,4 1}
{0 31.63098,1 131.915,2 0.143351,3 102.0508,4 1}
{0 59.045,1 172.696,2 -0.291014,3 173.7789,4 1}
{0 30.8692,1 111.9612,2 -0.350834,3 164.2289,4 1}
{0 26.80499,1 117.837,2 0.167506,3 94.60471,4 1}
{0 23.04501,1 92.10899,2 0.375728,3 138.4601,4 1}
{0 45.61099,1 134.505,2 -0.134271,3 162.1772,4 1}
{0 19.23199,1 51.043,2 0.491391,3 91.70428,4 1}
{0 264.35,1 382.98,2 -0.1856,3 163.5065,4 1}
{0 48.12,1 82.46997,2 0.188316,3 142.9151,4 1}
{0 41.492,1 235.379,2 0.212385,3 162.265,4 1}
{0 124.7599,1 323.97,2 -0.162581,3 163.5972,4 1}
{0 83.42004,1 247.65,2 -0.141773,3 150.6578,4 1}
{0 38.612,1 162.349,2 0.095057,3 110.6423,4 1}
{0 148.42,1 383.84,2 -0.166362,3 174.9297,4 1}
{0 107.372,1 250.022,2 0.215817,3 157.3403,4 1}
{0 18.1034,1 114.3904,2 0.142866,3 67.05608,4 1}
{0 24.07399,1 152.073,2 -0.210613,3 144.4312,4 1}
{0 26.604,1 156.405,2 0.121157,3 101.724,4 1}
{0 120.9975,1 45.2385,2 -0.423324,3 89.6086,4 1}
{0 22.54799,1 128.383,2 0.291356,3 132.0577,4 1}
{0 25.837,1 160.46,2 0.212165,3 149.0043,4 1}
{0 43.729,1 196.751,2 0.06027,3 117.7423,4 1}
{0 28.448,1 63.763,2 0.188313,3 126.1057,4 1}
{0 21.83102,1 103.733,2 0.164329,3 86.16159,4 1}
{0 41.51999,1 372.669,2 -0.152671,3 159.2218,4 1}
{0 96.29401,1 370.749,2 0.112593,3 140.4129,4 1}
{0 32.687,1 91.33099,2 -0.195174,3 125.5976,4 1}
{0 19.155,1 116.077,2 -0.251048,3 74.08743,4 1}
{1 113.399,2 0.337025,3 93.47311,4 1}
{0 142.4589,1 37.9739,2 0.134041,3 130.9068,4 1}
{0 99.20996,1 342.4501,2 0.108015,3 148.3809,4 1}
{0 43.35101,1 189.322,2 0.098708,3 105.6516,4 1}
{0 55.23102,1 96.35602,2 0.14825,3 134.8949,4 1}
{0 25.60901,1 113.118,2 0.288641,3 106.5168,4 1}
{0 31.49899,1 119.921,2 0.10601,3 157.1646,4 1}
{0 60.33997,1 199.7699,2 0.124846,3 120.2911,4 1}
{0 48.45502,1 184.937,2 -0.20763,3 121.8045,4 1}
{0 25.3896,1 100.5721,2 0.170775,3 153.9702,4 1}
{0 41.51801,1 189.502,2 -0.170097,3 130.6514,4 1}
{0 43.82501,1 183.851,2 -0.095935,3 113.117,4 1}
{0 41.66,1 132.705,2 0.152471,3 135.4662,4 1}
{0 45.991,1 251.854,2 0.257107,3 167.7336,4 1}
{0 133.71,1 492.87,2 -0.166626,3 172.51,4 1}
{0 20.6591,1 40.1293,2 0.281754,3 101.6223,4 1}
{0 21.0356,1 39.7326,2 0.394491,3 111.6997,4 1}
{0 19.7207,1 64.2594,2 0.17228,3 150.7265,4 1}
{0 24.9566,1 106.8158,2 -0.285293,3 94.13229,4 1}
{0 58.896,1 203.396,2 -0.156523,3 150.7292,4 1}
{0 27.769,1 116.185,2 0.103727,3 127.8553,4 1}
{0 78.298,1 228.247,2 0.088289,3 148.9,4 1}
{0 21.643,1 31.07,2 0.630123,3 160.5979,4 1}
{0 25.4552,1 30.8162,2 0.209136,3 95.25842,4 1}
{0 46.96002,1 267.21,2 -0.165165,3 163.7784,4 1}
{0 55.009,1 245.492,2 0.181873,3 121.1508,4 1}
{0 51.30902,1 273.349,2 -0.145599,3 122.5791,4 1}
{0 31.22101,1 214.572,2 -0.235904,3 90.75395,4 1}
{0 23.864,1 213.301,2 -0.254432,3 91.18242,4 1}
{0 49.35498,1 164.413,2 -0.165775,3 155.8077,4 1}
{0 33.66699,1 183.122,2 -0.163879,3 152.0092,4 1}
{0 21.36398,1 163.215,2 0.14093,3 83.61272,4 1}
{0 22.66,1 190.525,2 -0.338962,3 85.08492,4 1}
{0 50.347,1 56.084,2 0.229146,3 131.7693,4 1}
{0 242.01,1 268.73,2 -0.189671,3 170.7768,4 1}
{0 31.78998,1 140.194,2 0.146389,3 95.77478,4 1}
{0 45.43298,1 150.0359,2 0.247918,3 156.4971,4 1}
{0 48.44101,1 189.554,2 0.083511,3 108.2802,4 1}
{0 122.958,1 327.22,2 -0.242047,3 171.1366,4 1}
{0 40.91998,1 165.169,2 -0.058489,3 109.6919,4 1}
