@relation 'brest-cancer-wisconsin-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.NominalToBinary-N_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M8'

@attribute '0.381Uniformity of Cell Size+0.377Uniformity of Cell Shape+0.346Bland Chromatin+0.336Single Epithelial Cell Size+0.336Normal Nucleoli...' numeric
@attribute '0.993Sample code number-0.072Bare Nuclei+0.047Mitoses+0.044Uniformity of Cell Size+0.041Single Epithelial Cell Size...' numeric
@attribute '-0.907Mitoses+0.248Bare Nuclei+0.23 Bland Chromatin-0.163Single Epithelial Cell Size+0.142Clump Thickness...' numeric
@attribute '0.863Clump Thickness-0.425Marginal Adhesion-0.195Bland Chromatin-0.125Normal Nucleoli-0.106Single Epithelial Cell Size...' numeric
@attribute '-0.526Bare Nuclei-0.469Marginal Adhesion+0.454Normal Nucleoli+0.393Single Epithelial Cell Size-0.245Mitoses...' numeric
@attribute '0.673Single Epithelial Cell Size-0.647Normal Nucleoli-0.251Bland Chromatin+0.137Uniformity of Cell Size-0.128Mitoses...' numeric
@attribute '0.683Marginal Adhesion-0.587Bare Nuclei-0.287Bland Chromatin+0.276Clump Thickness-0.15Mitoses...' numeric
@attribute '0.695Bland Chromatin-0.485Normal Nucleoli-0.421Bare Nuclei+0.199Uniformity of Cell Size-0.167Single Epithelial Cell Size...' numeric
@attribute Class {2,4}

@data
0.082713,0.079311,0.6867,0.43007,0.483612,0.376137,0.414315,0.482687,2
0.08019,0.08015,0.682497,0.539711,0.517145,0.403046,0.409295,0.440305,2
0.055472,0.079933,0.670741,0.475876,0.513791,0.40034,0.386369,0.432253,2
0.716893,0.095296,0.838902,0.571515,0.781081,0.266416,0.825676,0.603962,4
0.172609,0.079262,0.783179,0.649481,0.462477,0.208034,0.34951,0.744633,2
0.457649,0.075579,0.85852,0.332389,0.218136,0.191994,0.487223,0.247477,4
0.402794,0.083326,0.776695,0.263068,0.592236,0.465792,0.145158,0.444509,4
0.575987,0.088898,0.796914,0.31331,0.60044,0.303676,0.69746,0.429366,2
0.367785,0.085429,0.729583,0.871043,0.571211,0.191522,0.373363,0.54121,4
0.661359,0.092259,0.703004,0.567224,0.602323,0.769257,0.059164,0.562119,4
0.412711,0.092824,0.661776,0.423411,0.696042,0.976245,0.714649,0.433717,4
0.711231,0.099944,0.80791,0.663276,0.987979,0.359634,0.598807,0.567401,4
0.058107,0.08311,0.585836,0.424906,0.494376,0.388728,0.34339,0.445702,2
0.483561,0.085628,0.80615,0.344339,0.585211,0.318075,0.24298,0.213922,4
0.044004,0.081973,0.663717,0.414592,0.519821,0.405326,0.363552,0.431765,2
0.117438,0.08125,0.7042,0.522866,0.440348,0.364592,0.514107,0.476541,2
0.506827,0.088713,0.732235,0.674905,0.630463,0.309119,0.27373,0.22089,4
0.356629,0.091688,0.472892,0.958977,0.427676,0.407541,0.415454,0.549027,4
0.258069,0.082034,0.754807,0.531298,0.448383,0.275266,0.487579,0.347369,4
0.454513,0.087321,0.729663,0.839861,0.642245,0.029436,0.394452,0.227321,4
0.659817,0.094002,0.320797,0.342616,0.339572,0.731376,0.323237,0.492458,4
0.552173,0.083911,0.84452,0.682308,0.401652,0.767316,0.455053,0.515922,4
0.446835,0.087351,0.796928,0.83608,0.599051,0.352887,0.519362,0.300577,4
0.534272,0.092517,0.823142,0.763703,0.778158,0.235484,0.350655,0.292609,4
0.346275,0.091675,0.503899,0.779751,0.610055,0.346068,0.374449,0.541716,4
0.325667,0.079015,0.794395,0.572847,0.413587,0.679844,0.032004,0.361979,4
0.307448,0.085678,0.804851,0.832732,0.493864,0.373096,0.506208,0.657012,4
0.387734,0.087482,0.75229,0.432246,0.654877,0.0445,0.541583,0.231961,4
0.0537,0.081778,0.673997,0.41408,0.493512,0.412857,0.32597,0.40842,2
0.60746,0.094579,0.781706,0.80621,0.781756,1,0.290564,0.330837,4
0.332279,0.089984,0.702151,0.615707,0.819677,0.234292,0.404947,0.217802,4
0.043943,0.082765,0.663881,0.414593,0.519587,0.405294,0.363441,0.431662,2
0.404239,0.09658,0.066929,1,0.331883,0.183109,0.306323,0.617644,4
0.092834,0.082496,0.700048,0.58243,0.498831,0.367203,0.403925,0.489061,2
0.461865,0.085333,0.757226,0.505563,0.71165,0.479434,0.048047,0.043242,4
0.658577,0.093494,0.345072,0.686978,0.389767,0.007268,0.02455,0.469905,4
0.070439,0.083484,0.676753,0.390356,0.545113,0.335386,0.334659,0.456723,2
0.115933,0.084059,0.702466,0.664839,0.512777,0.400536,0.454234,0.448101,2
0.738359,0.107477,0.02812,0.38423,0.5733,0.422495,0.532149,0.557303,4
0.195515,0.085817,0.748284,0.299582,0.554653,0.277854,0.294242,0.718645,2
0.600498,0.082793,0.836122,0.5116,0.352171,0.376945,0.646502,0.069607,4
0.351566,0.088806,0.63336,0.954119,0.474873,0.419693,0.414381,0.489952,4
0.108456,0.083834,0.705294,0.376368,0.527758,0.327781,0.270282,0.49786,2
0.08398,0.085827,0.677311,0.422242,0.548838,0.428521,0.364291,0.454838,2
0.127684,0.08476,0.701065,0.62797,0.486339,0.403525,0.52092,0.452024,2
0.100929,0.081936,0.713126,0.520119,0.452896,0.387341,0.306254,0.44217,2
0.071131,0.084998,0.660803,0.466306,0.544241,0.467668,0.383325,0.416705,2
0.140398,0.084367,0.758716,0.406889,0.497553,0.235885,0.259099,0.750938,2
0.090007,0.084335,0.688752,0.568676,0.469799,0.388696,0.485816,0.425786,2
0.117146,0.085059,0.710415,0.642724,0.503091,0.37199,0.432413,0.501987,2
0.150871,0.083646,0.758692,0.456535,0.475011,0.28816,0.235044,0.6921,2
0.722592,0.098158,0.339473,0.18629,0.468178,0.300494,0.234747,0.292808,4
0.692356,0.112453,0,0.572232,0.828075,0.457584,0.128744,0.352343,4
0.377241,0.085834,0.7757,0.36957,0.480115,0.518393,0.258681,0.288544,4
0.565135,0.089501,0.675575,0.261719,0.457002,0.293675,0.211463,0.283143,4
0.092632,0.085108,0.700589,0.582434,0.49806,0.367098,0.403559,0.488723,2
0.08329,0.086226,0.663263,0.436527,0.514453,0.466288,0.438157,0.410205,2
0.058657,0.08568,0.678368,0.398573,0.51779,0.38228,0.335888,0.48798,2
0.063672,0.085452,0.667653,0.523415,0.477039,0.416616,0.490274,0.368723,2
0.092601,0.085509,0.700672,0.582434,0.497942,0.367082,0.403503,0.488671,2
0.043702,0.085887,0.664528,0.414598,0.518665,0.405168,0.363003,0.431258,2
0.06995,0.085899,0.68586,0.459861,0.511092,0.377203,0.358387,0.488174,2
0.058612,0.086259,0.678488,0.398574,0.517619,0.382256,0.335806,0.487905,2
0.052306,0.086165,0.660355,0.462129,0.483461,0.421655,0.467643,0.368408,2
0.103873,0.086014,0.708224,0.643722,0.49116,0.361994,0.425963,0.488828,2
0.715362,0.110331,0.028823,0.838468,0.678766,0.52741,0.230786,0.190012,4
0.686855,0.090509,0.64661,0.374816,0.30145,0.17165,0.466456,0.284742,4
0.525492,0.097086,0.634425,0.816089,0.883296,0.518214,0.348465,0.063608,4
0.243548,0.086823,0.733002,0.357292,0.478164,0.281499,0.407741,0.242329,4
0.105922,0.086852,0.705216,0.584984,0.507596,0.374812,0.403741,0.496354,2
0.320928,0.089128,0.774354,0.728254,0.573398,0.565776,0.307155,0.63832,4
0.891926,0.113354,0.257452,0.554071,0.642243,0.464275,0.785335,0.659507,4
0.361351,0.095622,0.289094,0.725677,0.295464,0.327028,0.449493,0.509979,4
0.587759,0.087634,0.927888,0.735024,0.208605,0.531753,0.618467,0.479736,4
0.611452,0.091363,0.788969,0,0.492438,0.61956,0.448695,0.174811,4
0.066793,0.087623,0.662569,0.398173,0.571503,0.311134,0.359687,0.367949,2
0.507737,0.088605,0.707935,0.504685,0.426005,0.090159,0.177134,0.377707,4
0.174034,0.088916,0.643674,0.328127,0.510707,0.251946,0.288095,0.54831,2
0.394172,0.08612,0.809341,0.737855,0.385682,0.680044,0.328531,0.333911,4
0.5228,0.081433,0.767528,0.620719,0,0.209396,0.557629,0.456783,4
0.69454,0.097262,0.865853,0.744245,0.657447,0.971642,0.290074,0.66459,4
0.140372,0.086864,0.723191,0.52068,0.484791,0.414841,0.318623,0.475458,2
0.06768,0.083389,0.691408,0.428573,0.414872,0.458259,0.24006,0.281404,2
0.212167,0.088314,0.75351,0.821963,0.514291,0.342719,0.467571,0.476071,2
0.633535,0.093446,0.323772,0.272095,0.071347,0.233142,0.326495,0.473229,4
0.080145,0.086931,0.649528,0.410446,0.530452,0.578135,0.310116,0.297904,2
0.104093,0.086531,0.706147,0.51964,0.489555,0.38959,0.349536,0.477979,2
0.084202,0.087409,0.685197,0.371343,0.497905,0.388663,0.391075,0.489272,2
0.115408,0.086466,0.71358,0.580927,0.482941,0.384525,0.372076,0.478211,2
0.70829,0.099162,0.684481,0.825276,0.639518,0.929565,0.197941,0.418943,4
0.420357,0.087872,0.782857,0.541375,0.559966,0.746112,0.030192,0.296715,4
0.633142,0.093993,0.795597,0.250634,0.698266,0.403017,0.384403,0.283282,4
0.043598,0.087235,0.664807,0.4146,0.518267,0.405114,0.362814,0.431083,2
0.561628,0.088999,0.564394,0.509259,0.196263,0.256198,0.288855,0.43553,4
0.081173,0.087034,0.693542,0.52115,0.504124,0.372089,0.380758,0.48825,2
0.43222,0.087257,0.707519,0.714395,0.414795,0.458433,0.353846,0.01579,4
0.156526,0.094137,0.56446,0.354013,0.772736,0.967992,0.370326,0.254366,2
0.115609,0.088265,0.703337,0.664846,0.511535,0.400367,0.453644,0.447556,2
0.06984,0.087335,0.686158,0.459863,0.510668,0.377145,0.358186,0.487988,2
0.695973,0.096671,0.646574,0.302056,0.435916,0.698576,0.57916,0.173473,4
0.077794,0.087722,0.678642,0.528961,0.531532,0.347976,0.40627,0.399924,2
0.082193,0.088222,0.668918,0.527598,0.536656,0.462471,0.405404,0.41651,2
0.136704,0.086985,0.716426,0.626784,0.517855,0.275513,0.385143,0.402248,2
0.077516,0.087401,0.687181,0.598462,0.49832,0.389903,0.430382,0.43173,2
0.051255,0.087555,0.665884,0.5532,0.505844,0.417862,0.434975,0.374792,2
0.090888,0.088084,0.691588,0.601011,0.50817,0.397659,0.430713,0.439499,2
0.05239,0.084557,0.701501,0.422873,0.420017,0.356834,0.269819,0.386851,2
0.051249,0.087637,0.665901,0.5532,0.505819,0.417859,0.434964,0.374781,2
0.039929,0.08776,0.65848,0.491913,0.512416,0.422922,0.412416,0.374542,2
0.429222,0.092723,0.647274,0.772712,0.421792,0.423614,0.481797,0.451912,4
0.067618,0.084193,0.691575,0.428575,0.414634,0.458227,0.239947,0.2813,2
0.054871,0.087724,0.672355,0.475888,0.51149,0.400026,0.385276,0.431242,2
0.095118,0.086762,0.699501,0.418394,0.471415,0.439844,0.26803,0.387389,2
0.333491,0.088816,0.762524,0.440656,0.491606,0.731588,0.156422,0.385751,4
0.069282,0.087843,0.664267,0.404512,0.523667,0.480145,0.322786,0.392743,2
0.312537,0.094907,0.653312,0.314585,0.819475,0.399634,0.410617,0.277801,2
0.787868,0.103549,0.366836,0.605627,0.570248,0.546685,0.106376,0.367624,4
0.042488,0.087226,0.689675,0.408154,0.485387,0.314685,0.338004,0.50267,2
0.424181,0.088721,0.655853,0.693966,0.437313,0.50305,0.031514,0.302567,4
0.683598,0.097578,0.888529,0.634881,0.67647,0.101466,0.567187,0.505392,4
0.082031,0.086214,0.693693,0.613462,0.446873,0.427895,0.382474,0.328447,2
0.028574,0.088341,0.651154,0.430627,0.518877,0.427967,0.389804,0.374244,2
0.374923,0.084628,0.827478,0.486838,0.225887,0.561601,0.387326,0.315646,4
0.070027,0.08976,0.671985,0.416155,0.539223,0.422753,0.369203,0.451648,2
0.069763,0.088329,0.686364,0.459865,0.510375,0.377105,0.358046,0.487859,2
0.082732,0.087703,0.670561,0.422294,0.493969,0.522452,0.292283,0.307824,2
0.785281,0.102911,0.506875,0.714912,0.585707,0.228739,0.10785,0.393273,4
0.605447,0.092547,0.79597,0.765772,0.489596,0.364909,0.314169,0.278644,4
0.10396,0.088798,0.700194,0.574225,0.523645,0.319968,0.401505,0.456702,2
0.081057,0.088537,0.693853,0.521152,0.50368,0.372029,0.380548,0.488055,2
0.128877,0.093586,0.217375,0.471283,0.252567,0.274627,0.251169,0.419879,2
0.128506,0.086027,0.734488,0.642421,0.424061,0.381138,0.330257,0.429356,2
0.113707,0.087944,0.710338,0.573713,0.49753,0.327525,0.364015,0.433442,2
0.651697,0.096608,0.623689,0.330202,0.544836,0.465698,0.437322,0,4
0.673901,0.111095,0.078621,0.752619,0.259568,0.58458,0.888826,0.658777,4
0.081049,0.088639,0.693874,0.521152,0.50365,0.372025,0.380533,0.488042,2
0.024809,0.087932,0.664261,0.410423,0.457626,0.35912,0.447198,0.382847,2
0.051156,0.088841,0.66615,0.553202,0.505464,0.417811,0.434795,0.374625,2
0.058406,0.088925,0.679041,0.398579,0.516832,0.382149,0.335432,0.487559,2
0.043458,0.089044,0.665182,0.414603,0.517733,0.405042,0.362561,0.430848,2
0.941234,0.105485,0.444455,0.264674,0.446488,0.294303,0.325136,0.515306,4
0.442265,0.085893,0.889708,0.681193,0.273305,0.490274,0.269615,0.511954,4
0.664626,0.096293,0.791701,0.310801,0.629866,0.750278,0.380655,0.182517,4
0.069713,0.088969,0.686496,0.459866,0.510186,0.377079,0.357957,0.487776,2
0.625164,0.110646,0.572808,0.455337,1,0.421462,0.47108,0.429323,4
0.092347,0.088804,0.701355,0.58244,0.496968,0.36695,0.403041,0.488243,2
0.332958,0.086007,0.774878,0.544348,0.366194,0.732653,0.201636,0.248033,4
0.042404,0.088311,0.6899,0.408155,0.485067,0.314642,0.337852,0.502529,2
0.028495,0.089362,0.651365,0.430628,0.518576,0.427926,0.389661,0.374111,2
0.114966,0.088824,0.716252,0.705014,0.483697,0.356813,0.448099,0.488686,2
0.651796,0.093035,0.879037,0.291189,0.476525,0.326424,0.392382,0.340759,4
0.469804,0.088432,0.872019,0.689194,0.327139,0.598342,0.300814,0.460931,4
0.053704,0.08844,0.697374,0.469443,0.478396,0.309568,0.360364,0.502735,2
0.546196,0.09453,0.815021,0.093191,0.632602,0.210414,0.24524,0.296909,4
0.797947,0.100949,0.193746,0.627418,0.106409,0.21821,0.413307,0.416755,4
0.656366,0.092793,0.871143,0.173981,0.481749,0.137833,0.518574,0.393726,4
0.09826,0.091449,0.690484,0.402681,0.547838,0.407572,0.342248,0.515981,2
0.781049,0.098994,0.896868,0.575752,0.623032,0.294846,0.587497,0.351652,4
0.772691,0.099803,0.64597,0.36668,0.553236,0.578332,0.555093,0.024801,4
0.088663,0.089522,0.695068,0.659752,0.49106,0.38475,0.452615,0.431678,2
0.058336,0.089836,0.679229,0.39858,0.516563,0.382113,0.335305,0.487441,2
0.08097,0.089662,0.694086,0.521154,0.503348,0.371983,0.38039,0.487909,2
0.092288,0.089569,0.701514,0.582441,0.496743,0.366919,0.402933,0.488144,2
0.511644,0.092048,0.769847,0.579613,0.480437,0.137634,0.363288,0.376096,2
0.140411,0.088909,0.71544,0.554384,0.402028,0.357885,0.590567,0.469429,2
0.028439,0.090094,0.651517,0.430629,0.51836,0.427896,0.389558,0.374017,2
0.066015,0.089881,0.680249,0.537179,0.50422,0.394872,0.407504,0.431185,2
0.661859,0.095286,0.739786,0.644758,0.465686,0.259208,0.270428,0.367658,4
0.673015,0.095865,0.8751,0.710337,0.532298,0.949933,0.256568,0.569904,4
0.058309,0.090185,0.679302,0.398581,0.51646,0.382099,0.335256,0.487395,2
0.103579,0.089819,0.709012,0.643728,0.490036,0.361841,0.425429,0.488334,2
0.058307,0.090208,0.679306,0.398581,0.516453,0.382098,0.335253,0.487392,2
0.812563,0.103022,0.57085,0.279769,0.472411,0.267532,0.374053,0.353271,4
0.575311,0.102021,0.790521,0.819239,0.740635,0.665056,0.538387,0.361256,4
0.042314,0.089482,0.690143,0.408157,0.484721,0.314595,0.337688,0.502377,2
0.042314,0.089482,0.690143,0.408157,0.484721,0.314595,0.337688,0.502377,2
0.087581,0.089149,0.71986,0.653305,0.458288,0.294336,0.427856,0.503312,2
0.871829,0.103,0.542144,0.437715,0.3651,0.144016,0.451837,0.433272,4
0.664888,0.095805,0.898236,0.491875,0.473219,0.295426,0.551307,0.460311,4
0.05829,0.090436,0.679354,0.398581,0.516385,0.382089,0.335221,0.487363,2
0.883292,0.102195,0.677247,0.536532,0.46712,0.324978,0.559495,0.319176,4
0.775569,0.093363,1,0.528675,0.307762,0.224099,0.554786,0.633884,4
0.618842,0.100352,0.738495,0.53433,0.63419,0.199959,0.616889,0.288248,4
0.043329,0.090715,0.665529,0.414606,0.51724,0.404974,0.362326,0.430631,2
0.058272,0.090666,0.679401,0.398581,0.516318,0.382079,0.335188,0.487333,2
0.673333,0.10356,0.747512,0.349081,0.726908,0.223373,0.543744,0.497199,4
0.14161,0.091481,0.725333,0.710114,0.503015,0.372273,0.448579,0.504057,2
0.070537,0.09052,0.681576,0.3688,0.486935,0.380755,0.390212,0.481011,2
0.700091,0.096192,0.85457,0.64197,0.737259,0.454464,0.146206,0.291523,4
0.12483,0.085688,0.743505,0.54643,0.30256,0.349872,0.392524,0.340678,4
0.44895,0.090948,0.872743,0.613595,0.438095,0.315405,0.228947,0.521051,4
0.59785,0.090724,0.834114,0.673784,0.375465,0.052016,0.358248,0.304502,4
0.043307,0.09101,0.66559,0.414606,0.517153,0.404963,0.362285,0.430593,2
0.616897,0.091925,0.919495,0.702529,0.510183,0.131384,0.239451,0.360464,4
0.583017,0.09893,0.874169,0.59588,0.606131,0.207016,0.49513,0.558755,4
0.042259,0.090183,0.690288,0.408158,0.484514,0.314566,0.337589,0.502286,2
0.832917,0.102901,0.89111,0.653279,0.842184,0.540724,0.17309,0.389938,4
0.474841,0.092649,0.864537,0.571445,0.486286,0.210343,0.312358,0.469599,4
0.649877,0.099171,0.779854,0.416799,0.631614,0.283372,0.272817,0.42244,4
0.322411,0.096821,0.766285,0.735756,0.578783,0.363153,0.590576,0.532526,2
0.452777,0.088301,0.852787,0.788877,0.27237,0.639654,0.406332,0.336504,4
0.194413,0.096051,0.68767,0.471069,0.700132,0.232045,0.382538,0.348409,2
0.14575,0.091322,0.733488,0.527499,0.465918,0.414411,0.285732,0.451796,2
0.764508,0.110704,0.129042,0.888489,0.487362,0.430676,0.066945,0.28963,4
0.618629,0.108948,0.533638,0.682801,0.757285,0.241919,0.632159,0.339767,4
0.835042,0.112272,0.136467,0.609597,0.383773,0.25459,0.431519,0.226092,4
0.409385,0.088773,0.793159,0.87014,0.303816,0.359582,0.194848,0.377229,4
0.172543,0.094478,0.717037,0.588354,0.477831,0.311015,0.522097,0.347614,2
0.089161,0.093119,0.7102,0.471175,0.41153,0.301651,0.492245,0.489669,2
0.069283,0.094551,0.687653,0.459874,0.508537,0.376855,0.357174,0.487052,2
0.133443,0.005544,0.730808,0.364353,0.434113,0.369799,0.142398,0.518282,2
0.057916,0.095276,0.680357,0.398589,0.514956,0.381894,0.334542,0.486735,2
0.125196,0.093937,0.722391,0.613442,0.433027,0.367868,0.442245,0.458088,2
0.744873,0.016613,0.898849,0.478032,0.522595,0.349771,0.484178,0.393125,4
0.32443,0.007216,0.814441,0.811593,0.402046,0.3694,0.220884,0.312347,4
0.156195,0.013835,0.680021,0.541251,0.652481,0.13505,0.405873,0.340259,2
0.111762,0.009883,0.703815,0.519727,0.459812,0.394334,0.295876,0.438787,2
0.060866,0.014898,0.642588,0.432062,0.562266,0.448659,0.406848,0.404662,2
0.525058,0.010017,0.731617,0.654207,0.044664,0.2758,0.628679,0.373547,4
0.396447,0.073175,0.656166,0.562555,0.265141,0.301809,0.296821,0.183913,2
0.661359,0.092259,0.703004,0.567224,0.602323,0.769257,0.059164,0.562119,4
0.60746,0.094579,0.781706,0.80621,0.781756,1,0.290564,0.330837,4
0.426407,0.087698,0.809163,0.556869,0.529704,0.417162,0.163609,0.188906,4
0.051255,0.087555,0.665884,0.5532,0.505844,0.417862,0.434975,0.374792,2
0.066199,0.087494,0.679754,0.537175,0.504925,0.394968,0.407839,0.431495,2
0.081049,0.088639,0.693874,0.521152,0.50365,0.372025,0.380533,0.488042,2
0.419279,0.022416,0.770775,0.595971,0.631439,0.585307,0.200464,0.319541,2
0.584159,0.018054,0.744065,0.670264,0.072742,0.478065,0.636314,0.465163,4
0.843655,0.034518,0.552377,0.315475,0.599192,0.663644,0.13403,0.617869,4
0.655379,0.025108,0.882744,0.596615,0.604439,0.327055,0.249912,0.38346,4
0.583339,0.019902,0.843632,0.578858,0.273097,0.484671,0.654892,0.22145,4
0.615755,0.035966,0.566465,0.392358,0.555284,0.827343,0.833634,0.479155,4
0.155491,0.089477,0.720577,0.643157,0.546966,0.338222,0.425219,0.48041,2
0.525986,0.091161,0.809109,0.858049,0.374672,0.464146,0.31584,0.415665,4
0.341679,0.019381,0.840995,0.421181,0.349078,0.468179,0.010189,0.549739,4
0.651332,0.040759,0.320483,0.862828,0.526285,0.039183,0.247042,0.743533,4
0.063076,0.028428,0.666503,0.398483,0.534697,0.38458,0.343918,0.495406,2
0.472487,0.0307,0.746363,0.770212,0.565785,0.168415,0.149704,0.119447,4
0.108195,0.030011,0.696618,0.643634,0.507697,0.364244,0.433817,0.496092,2
0.341679,0.019381,0.840995,0.421181,0.349078,0.468179,0.010189,0.549739,4
0.252416,0.032468,0.74486,0.745318,0.541705,0.383454,0.367894,0.384741,4
0.097029,0.032054,0.680988,0.512849,0.547035,0.327316,0.386933,0.463839,2
0.122062,0.030744,0.702785,0.54088,0.474692,0.431959,0.320947,0.395101,2
0.070484,0.03197,0.668248,0.537088,0.521321,0.397199,0.415626,0.438697,2
0.047747,0.033475,0.653666,0.414516,0.534143,0.407274,0.370355,0.438056,2
0.062668,0.033712,0.667598,0.398492,0.533136,0.384368,0.343176,0.49472,2
0.51811,0.045321,0.278384,0.944943,0.269396,0.324999,0.31107,0.462216,4
0.085131,0.035753,0.682914,0.521069,0.519268,0.37415,0.387951,0.494901,2
0.086081,0.035662,0.677654,0.430001,0.496502,0.377891,0.420437,0.488349,2
0.44666,0.032531,0.795779,0.035688,0.281795,0.339947,0.45305,0.208189,4
0.41147,0.032978,0.88129,0.906743,0.373036,0.335525,0.171285,0.415186,4
0.516607,0.03514,0.763301,0.453599,0.227552,0.125212,0.6246,0.092294,4
0.876607,0.04911,0.763609,0.370552,0.470283,0.493588,0.462724,0.561351,4
0.974937,0.061123,0.125427,0.617681,0.427242,0.498604,0.519674,0.194251,4
0.085891,0.0403,0.658987,0.527523,0.550808,0.464396,0.412125,0.422725,2
0.350629,0.042167,0.751752,0.582859,0.714202,0.070777,0.232272,0.216705,4
0.639065,0.047845,0.567058,0.341021,0.459246,0.28536,0.401254,0.099029,4
0.032183,0.041584,0.641464,0.430553,0.532685,0.429846,0.396362,0.380309,2
0.062065,0.041522,0.669217,0.398504,0.53083,0.384054,0.342081,0.493707,2
0.500851,0.05082,0.827328,0.715082,0.803728,0,0.354724,0.46705,4
0.400613,0.038947,0.843374,0.800825,0.206852,0.381756,0.526047,0.196905,4
0.071681,0.042557,0.68181,0.413229,0.464366,0.426054,0.273377,0.377408,2
0.572052,0.045365,0.851375,0.314836,0.37085,0.546146,0.383504,0.411255,4
0.353413,0.048139,0.748593,0.50324,0.614483,0.264486,0.363725,0.274882,2
0.209437,0.005732,0.717345,0.643996,0.557109,0.358735,0.385393,0.374812,2
0.172138,0.048921,0.664539,0.829843,0.591576,0.606628,0.552363,0.34928,2
