@relation 'unbalanced-weka.filters.supervised.attribute.NominalToBinary-N_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M8'

@attribute '-0.271WBN_LP_H_1.00-0.265WBN_LP_H_0.75+0.262WBN_EN_L_1.00+0.25 WBN_GC_L_1.00+0.25 WBN_EN_L_0.75...' numeric
@attribute -0.351WBN_LP_L_0.25-0.317WBN_LP_L_0.50+0.278PSA-0.257WBN_LP_L_0.75-0.246BBB... numeric
@attribute 0.377WBN_GC_H_0.25+0.343WBN_GC_H_0.50+0.324NumHBA-0.303WBN_GC_L_0.25-0.276WBN_GC_L_0.50... numeric
@attribute -0.396WBN_EN_H_0.25-0.328WBN_GC_H_0.50-0.327WBN_EN_H_0.50-0.325WBN_GC_H_0.25+0.306NumRot... numeric
@attribute -0.41WBN_LP_H_0.25-0.349WBN_GC_L_0.75-0.347WBN_GC_L_0.50-0.313WBN_GC_L_0.25-0.252WBN_LP_H_0.50... numeric
@attribute 0.398XLogP+0.352BadGroup-0.309NumHBD+0.284WBN_LP_H_0.25+0.271WBN_EN_H_0.25... numeric
@attribute 0.594BadGroup-0.451NumRot-0.263WBN_EN_H_0.25-0.246XLogP-0.24NumHBD... numeric
@attribute 0.389NumHBD-0.362WBN_EN_L_0.25+0.359WBN_EN_H_0.25-0.271WBN_EN_L_0.50-0.213PSA... numeric
@attribute Outcome {Active,Inactive}

@data
0.325285,0.673986,0.554349,0.666487,0.56428,0.513173,0.384063,0.802249,Inactive
0.313702,0.609006,0.527073,0.670078,0.664226,0.586618,0.438142,0.754903,Inactive
0.302883,0.628908,0.252763,0.73185,0.505708,0.522908,0.460802,0.877862,Inactive
0.342348,0.676401,0.268014,0.561034,0.580977,0.596359,0.353755,0.918413,Inactive
0.466458,0.191105,0.447981,0.619359,0.496464,0.652649,0.394206,0.685534,Inactive
0.356209,0.325396,0.376131,0.767392,0.591667,0.676793,0.36123,0.356632,Inactive
0.316508,0.36487,0.731759,0.476518,0.668568,0.48134,0.549303,0.549915,Inactive
0.307481,0.466544,0.817604,0.253143,0.726938,0.587675,0.597504,0.710552,Inactive
0.304913,0.487777,0.811816,0.300787,0.73662,0.570633,0.591065,0.756873,Inactive
0.389469,0.293924,0.611509,0.387661,0.613588,0.594478,0.881375,0.626733,Inactive
0.253531,0.389655,0.905428,0.068336,0.763714,0.553896,0.638442,0.560403,Inactive
0.254776,0.39008,0.895692,0.052163,0.773264,0.532838,0.683598,0.576311,Inactive
0.372934,0.276214,0.607767,0.400306,0.699139,0.576935,0.979753,0.662636,Inactive
0.384543,0.367739,0.495181,0,0.548074,0.501271,0.75075,0.754086,Inactive
0.403512,0.401188,0.492489,0.052771,0.552721,0.481937,0.784964,0.758023,Inactive
0.399993,0.336575,0.623224,0.393831,0.768206,0.459122,0.912532,0.617864,Inactive
0.461498,0.252233,0.220385,0.504073,0.273994,0.707275,0.570428,0.665048,Inactive
0.441684,0.289015,0.251563,0.394001,0.277452,0.795477,0.417405,0.7907,Inactive
0.46006,0.254789,0.225153,0.508221,0.266656,0.719391,0.556781,0.648218,Inactive
0.436724,0.254387,0.253734,0.569031,0.220067,0.775329,0.413642,0.611881,Inactive
0.349688,0.664316,0.420386,0.816407,0.669207,0.59217,0.423807,0.834062,Inactive
0.342947,0.620968,0.170813,0.621904,0.514426,0.60785,0.407812,0.764275,Inactive
0.37212,0.721445,0.281364,0.661762,0.506547,0.475256,0.364513,0.849959,Inactive
0.349914,0.7257,0.341451,0.740081,0.454546,0.547602,0.268943,0.816385,Inactive
0.344854,0.703671,0.286318,0.688711,0.448768,0.520762,0.324572,0.82229,Inactive
0.345213,0.702438,0.280882,0.676915,0.447252,0.525857,0.349626,0.810055,Inactive
0.367456,0.639005,0.162949,0.607948,0.548599,0.592577,0.428633,0.776285,Inactive
0.330891,0.600758,0.356444,0.831534,0.643419,0.718945,0.270681,0.801662,Inactive
0.321413,0.600454,0.1805,0.684778,0.52515,0.645981,0.46284,0.743843,Inactive
0.355231,0.635158,0.166347,0.626459,0.547248,0.543681,0.431763,0.818879,Inactive
0.347659,0.656199,0.209925,0.675656,0.507192,0.575535,0.378861,0.800197,Inactive
0.28051,0.603968,0.212756,0.733816,0.432611,0.618029,0.241238,0.772533,Inactive
0.284731,0.615723,0.22061,0.74525,0.439933,0.599447,0.22196,0.780217,Inactive
0.327453,0.620796,0.402332,0.798022,0.655027,0.639829,0.376991,0.801895,Inactive
0.362633,0.644114,0.440488,0.820108,0.718341,0.68775,0.348166,0.791034,Inactive
0.320409,0.718138,0.379286,0.766184,0.525311,0.551168,0.43145,0.682219,Inactive
0.474424,0.34543,0.56537,0.459175,0.650694,0.408837,0.662582,0.58343,Inactive
0.26132,0.537754,0.470631,0.783051,0.489531,0.929003,0.796876,0.657375,Inactive
0.262899,0.523851,0.453995,0.758606,0.435423,1,0.905848,0.660398,Inactive
0.305493,0.59406,0.426284,0.752594,0.60362,0.733055,0.519091,0.719885,Inactive
0.231575,0.516798,0.520163,0.467466,0.6311,0.925699,0.537411,0.711888,Inactive
0.310025,0.637935,0.368785,0.451546,0.604127,0.421916,0.682875,0.620035,Inactive
0.217788,0.564705,0.503009,1,0.680463,0.864279,0.616253,0.765769,Inactive
0.256552,0.536339,0.408843,0.994368,0.797349,0.885207,0.650945,0.834208,Inactive
0.259031,0.52176,0.358109,0.613591,0.647477,0.862847,0.466054,0.769281,Inactive
0.282302,0.531692,0.405191,0.720559,0.510147,0.890366,0.849041,0.686084,Inactive
0.198787,0.535176,0.57823,0.503457,0.60472,0.821336,0.425033,0.754883,Inactive
0.32735,0.493823,0.677607,0.374479,0.758359,0.604582,0.371603,0.747708,Inactive
0.227187,0.572486,0.62952,0.877144,0.49729,0.535035,0.195146,0.412198,Inactive
0.266879,0.593255,0.503654,0.649944,0.521183,0.354222,0.369349,0.402297,Inactive
0.204409,0.778184,0.580777,0.687289,0.401995,0.339959,0.342146,0.524753,Inactive
0.234383,0.60165,0.656537,0.917685,0.499929,0.500302,0.143585,0.431514,Inactive
0.224597,0.527274,0.567316,0.834667,0.527598,0.538131,0.206169,0.432935,Inactive
0.242659,0.513711,0.577966,0.775255,0.579011,0.566133,0.47769,0.399734,Inactive
0.242759,0.56602,0.592128,0.834357,0.546751,0.485971,0.268495,0.439508,Inactive
0.2289,0.539108,0.574145,0.841333,0.532021,0.537657,0.187687,0.418282,Inactive
0.23629,0.494669,0.532151,0.746381,0.554772,0.569639,0.455172,0.402881,Inactive
0.175025,0.439279,0.511848,0.870876,0.558886,0.514599,0.372196,0.587595,Inactive
0.165032,0.537025,0.691654,0.844957,0.444956,0.403206,0.303082,0.581966,Inactive
0.159209,0.503594,0.695573,0.868659,0.484724,0.446763,0.265829,0.590561,Inactive
0.153718,0.470724,0.662705,0.846625,0.492683,0.48185,0.240478,0.581896,Inactive
0.164266,0.426389,0.499962,0.871728,0.560917,0.514975,0.2815,0.59248,Inactive
0.176635,0.431106,0.493078,0.854908,0.58781,0.478072,0.324737,0.618934,Inactive
0.163737,0.424003,0.499848,0.87171,0.56055,0.521873,0.27208,0.590539,Inactive
0.172482,0.42476,0.491497,0.853846,0.578698,0.496307,0.322952,0.610027,Inactive
0.198047,0.485579,0.424423,0.764948,0.460257,0.409102,0.356659,0.609914,Inactive
0.177922,0.457581,0.52434,0.875869,0.570602,0.461293,0.348361,0.618667,Inactive
0.185385,0.465271,0.388723,0.754089,0.429198,0.457722,0.260001,0.569811,Inactive
0.177,0.458503,0.383962,0.745556,0.416245,0.471702,0.284534,0.554892,Inactive
0.185077,0.459636,0.379429,0.73674,0.431722,0.454042,0.305384,0.571573,Inactive
0.188689,0.496068,0.447614,0.808085,0.432447,0.439509,0.255934,0.584191,Inactive
0.159006,0.421138,0.502237,0.884654,0.573243,0.559572,0.354328,0.532814,Inactive
0.165695,0.433231,0.507253,0.881845,0.561389,0.51085,0.263806,0.593292,Inactive
0.181823,0.442694,0.355636,0.727332,0.465476,0.480144,0.390976,0.514289,Inactive
0.435503,0.180159,0.473521,0.478052,0.427771,0.682516,0.735931,0.535283,Inactive
0.289337,0.135479,0.306914,0.705046,0.654607,0.501626,0.481468,0.690485,Inactive
0.307785,0.620165,0.439397,0.798955,0.634893,0.609498,0.402212,0.821713,Inactive
0.324434,0.668909,0.279548,0.663213,0.492281,0.522845,0.41892,0.779528,Inactive
0.310179,0.624644,0.438362,0.80478,0.641718,0.601906,0.411478,0.829247,Inactive
0.336999,0.665961,0.266918,0.634503,0.523946,0.50239,0.470197,0.802426,Inactive
0.322121,0.658513,0.274663,0.63798,0.497294,0.521757,0.456808,0.774072,Inactive
0.34358,0.171329,0.080904,0.669647,0.477732,0.472109,0.357142,0.659574,Inactive
0.357802,0.300138,0.192256,0.719969,0.453378,0.359526,0.531401,0.653783,Inactive
0.358223,0.24471,0.154646,0.726095,0.457475,0.414102,0.417043,0.639089,Inactive
0.327783,0.170246,0.261249,0.842634,0.663391,0.488706,0.429664,0.660816,Inactive
0.359979,0.263671,0.211953,0.776615,0.466117,0.409743,0.423991,0.65645,Inactive
0.349573,0.154542,0.042404,0.679009,0.523381,0.502709,0.443873,0.628386,Inactive
0.325907,0.170246,0.28839,0.823908,0.571834,0.529378,0.383953,0.645076,Inactive
0.301342,0.210907,0.11849,0.472301,0.487303,0.586551,0.196666,0.852225,Inactive
0.343896,0.170916,0.078108,0.659326,0.480783,0.463783,0.387343,0.661434,Inactive
0.11268,0.147287,0.150629,0.519107,0.5457,0.47805,0.688297,0.518702,Inactive
0.470388,0.800869,0.207113,0.427317,0.74669,0.730665,0.54194,0.147087,Inactive
0.308428,0.622357,0.444031,0.807996,0.629546,0.626745,0.365025,0.807638,Inactive
0.32035,0.702229,0.335347,0.731624,0.452225,0.557175,0.304439,0.751063,Inactive
0.307885,0.644071,0.470665,0.795874,0.636684,0.578439,0.467796,0.805418,Inactive
0.302477,0.808518,0.415279,0.725761,0.382755,0.429751,0.420646,0.771393,Inactive
0.327789,0.66539,0.276328,0.638798,0.506304,0.5178,0.437636,0.769354,Inactive
0.313744,0.627984,0.427961,0.800283,0.640781,0.599126,0.423467,0.825926,Inactive
0.332497,0.679953,0.282343,0.624266,0.514772,0.47653,0.491133,0.766186,Inactive
0.304688,0.64129,0.523656,0.657736,0.59249,0.525974,0.476684,0.759977,Inactive
0.345009,0.674796,0.2626,0.620052,0.539315,0.475391,0.505798,0.807024,Inactive
0.345951,0.67734,0.265792,0.626766,0.540079,0.474986,0.486437,0.808348,Inactive
0.254429,0.625089,0.469897,0.806616,0.555227,0.561489,0.436909,0.708427,Inactive
0.311323,0.528247,0.057449,0.575318,0.64471,0.62161,0.621983,0.742249,Inactive
0.236189,0.597489,0.232151,0.625428,0.553097,0.528253,0.554707,0.521263,Inactive
0.075526,0.187259,0.190077,0.60108,0.480772,0.633668,0.529966,0.442636,Inactive
0.33366,0.550322,0.073049,0.588622,0.680673,0.608443,0.5609,0.756431,Inactive
0.430406,0.179549,0.335761,0.779902,0.653972,0.637343,0.44625,0.610975,Inactive
0.466582,0.065638,0.34352,0.511938,0.583902,0.62977,0.315617,0.349348,Inactive
0.267695,0.652006,0.281608,0.668895,0.373074,0.550213,0.561316,0.686228,Inactive
0.351534,0.654806,0.421417,0.786536,0.65115,0.689286,0.527014,0.803062,Inactive
0.340751,0.699783,0.312874,0.70795,0.480844,0.648994,0.604907,0.690829,Inactive
0.328332,0.652898,0.271126,0.690346,0.492512,0.659938,0.606673,0.732223,Inactive
0.254814,0.621639,0.467141,0.832372,0.530772,0.644608,0.505198,0.708383,Inactive
0.382726,0.697543,0.207567,0.586983,0.573233,0.499624,0.495428,0.781385,Inactive
0.380897,0.676825,0.386514,0.757938,0.744392,0.594107,0.424965,0.811045,Inactive
0.363865,0.696288,0.21727,0.631041,0.517988,0.546766,0.42514,0.745476,Inactive
0.093626,0.475684,0.430847,0.781173,0.587728,0.503852,0.588527,0.774378,Inactive
0.102929,0.506062,0.35308,0.683594,0.545567,0.411376,0.662929,0.73218,Inactive
0.440769,0.17912,0.314764,0.740385,0.676876,0.589719,0.544607,0.636424,Inactive
0.477173,0.215376,0.363828,0.748287,0.630415,0.625675,0.369236,0.658333,Inactive
0.088605,0.201464,0.198112,0.59792,0.475108,0.568434,0.436191,0.508928,Inactive
0.084978,0.247869,0.37434,0.741568,0.493769,0.589038,0.460573,0.492625,Inactive
0.079985,0.268734,0.303483,0.700413,0.402362,0.597359,0.345896,0.430594,Inactive
0.062055,0.308032,0.34115,0.571269,0.407815,0.65973,0.271165,0.608059,Inactive
0.086342,0.202228,0.202556,0.604945,0.468193,0.578334,0.422564,0.502615,Inactive
0.08063,0.222764,0.234383,0.636262,0.458887,0.606001,0.515934,0.434315,Inactive
0.099511,0.23465,0.232953,0.622989,0.480038,0.52355,0.457907,0.531491,Inactive
0.078708,0.260809,0.402783,0.788057,0.471906,0.617236,0.359763,0.471695,Inactive
0.089321,0.227372,0.238104,0.641534,0.452235,0.575183,0.395727,0.509349,Inactive
0.077693,0.250867,0.395419,0.664582,0.477806,0.589818,0.564248,0.404607,Inactive
0.085338,0.259422,0.383891,0.754006,0.489373,0.58135,0.443992,0.489143,Inactive
0.069918,0.224948,0.213372,0.453831,0.494064,0.635145,0.34363,0.680594,Inactive
0.084864,0.184477,0.289751,0.681203,0.539379,0.607645,0.451926,0.550525,Inactive
0.100347,0.200691,0.180582,0.565964,0.505051,0.52263,0.516056,0.539027,Inactive
0.364469,0.375948,0.710302,0.540016,0.699206,0.522268,0.49657,0.516181,Inactive
0.381444,0.383631,0.687156,0.489646,0.74125,0.43925,0.637646,0.557912,Inactive
0.145714,0.580698,0.496269,0.703424,0.643794,0.546646,0.616815,0.436695,Inactive
0.147215,0.225946,0.361799,0.769045,0.63536,0.535865,0.506671,0.65984,Inactive
0.160476,0.302673,0.449679,0.831976,0.585582,0.466877,0.412446,0.681684,Inactive
0.144267,0.305663,0.476534,0.858586,0.534264,0.523426,0.396954,0.651249,Inactive
0.142415,0.211281,0.349041,0.759122,0.623998,0.563663,0.519873,0.655462,Inactive
0.163339,0.288224,0.414928,0.772185,0.625096,0.450334,0.67664,0.640618,Inactive
0.152448,0.304115,0.530395,0.748042,0.601924,0.441373,0.606267,0.599544,Inactive
0.158427,0.215634,0.33705,0.722305,0.635462,0.487984,0.503908,0.737825,Inactive
0.130428,0.253885,0.369913,0.591894,0.639713,0.575325,0.341958,0.907345,Inactive
0.148972,0.216858,0.345238,0.748538,0.639801,0.533881,0.555539,0.670658,Inactive
0.121175,0.246217,0.372502,0.611442,0.643446,0.635284,0.397349,0.839599,Inactive
0.159775,0.294844,0.4834,0.79342,0.578477,0.517432,0.721177,0.632661,Inactive
0.431615,0.323013,0.561681,0.752604,0.463576,0.651087,0.666851,0.59571,Inactive
0.402078,0.381116,0.551785,0.539444,0.538844,0.690545,0.366419,0.802312,Inactive
0.529013,0.249482,0.286481,0.616706,0.30301,0.586415,0.304126,0.60325,Inactive
0.167021,0.193721,0.289845,0.668983,0.704231,0.456659,0.696199,0.708164,Inactive
0.444283,0.124684,0.342067,0.809046,0.656937,0.652962,0.301511,0.54416,Inactive
0.408901,0.2256,0.502506,0.779367,0.653283,0.52832,0.463997,0.466932,Inactive
0.448345,0.124901,0.334298,0.793078,0.668526,0.63206,0.347441,0.555066,Inactive
0.428781,0.357428,0.57931,0.798943,0.634709,0.515458,0.412124,0.605618,Inactive
0.378239,0.337699,0.534717,0.679845,0.395982,0.702268,0.641312,0.676913,Inactive
0.43019,0.323992,0.537019,0.768069,0.636123,0.545777,0.432442,0.607668,Inactive
0.423916,0.384794,0.657478,0.775142,0.529743,0.47553,0.588486,0.685333,Inactive
0.443716,0.331126,0.558463,0.730563,0.490939,0.605353,0.774853,0.650938,Inactive
0.43808,0.386171,0.639779,0.81809,0.60123,0.529975,0.579717,0.636776,Inactive
0.388246,0.299468,0.517692,0.765175,0.47035,0.565825,0.577435,0.626371,Inactive
0.419724,0.327,0.545852,0.760301,0.559836,0.596715,0.545442,0.591066,Inactive
0.435965,0.364959,0.614328,0.779506,0.534381,0.535938,0.533829,0.674319,Inactive
0.407777,0.387698,0.558883,0.538667,0.548502,0.676767,0.414394,0.840188,Inactive
0.440872,0.332419,0.534079,0.73721,0.520057,0.569124,0.589147,0.622929,Inactive
0.386153,0.26942,0.483151,0.739355,0.487353,0.58513,0.571468,0.625843,Inactive
0.445757,0.35927,0.606262,0.80345,0.597091,0.56206,0.556874,0.636788,Inactive
0.423632,0.382313,0.648284,0.792553,0.6193,0.508412,0.603019,0.624948,Inactive
0.453045,0.399021,0.649384,0.76811,0.565245,0.455496,0.60686,0.714171,Inactive
0.469566,0.358942,0.546752,0.68948,0.557103,0.464232,0.630716,0.726307,Inactive
0.434342,0.32395,0.526488,0.749296,0.642435,0.526637,0.474778,0.616897,Inactive
0.461025,0.357886,0.524318,0.703359,0.583452,0.435281,0.467714,0.694249,Inactive
0.438002,0.323273,0.525208,0.74869,0.638902,0.528833,0.472192,0.614727,Inactive
0.449176,0.35797,0.598004,0.787718,0.607289,0.544837,0.598972,0.646429,Inactive
0.441911,0.327628,0.529062,0.753279,0.651918,0.513947,0.472214,0.624712,Inactive
0.398224,0.351884,0.490502,0.504032,0.600699,0.652044,0.304632,0.815957,Inactive
0.446666,0.361109,0.604109,0.800349,0.593568,0.558492,0.558805,0.636923,Inactive
0.442479,0.356538,0.608263,0.808562,0.589415,0.577164,0.538576,0.629174,Inactive
0.452137,0.358133,0.587455,0.769231,0.614675,0.524973,0.641802,0.655889,Inactive
0.431782,0.325045,0.54413,0.782699,0.621472,0.564305,0.389022,0.596074,Inactive
0.420174,0.319263,0.556739,0.77281,0.564539,0.606021,0.556513,0.599978,Inactive
0.42052,0.408991,0.684307,0.861709,0.529725,0.574066,0.44757,0.560022,Inactive
0.371549,0.36134,0.59425,0.713365,0.323816,0.756153,0.704071,0.653038,Inactive
0.452668,0.179354,0.325585,0.751998,0.664694,0.624841,0.486777,0.615764,Inactive
0.158736,0.618306,0.543766,0.680632,0.58836,0.535497,0.80887,0.45275,Inactive
0.145867,0.59331,0.512464,0.710271,0.625131,0.545018,0.650988,0.440769,Inactive
0.411489,0.239773,0.466312,0.510978,0.4231,0.717146,0.651216,0.746312,Inactive
0.382905,0.288503,0.577661,0.627799,0.453297,0.729444,0.651965,0.66511,Inactive
0.159675,0.625721,0.381571,0.57625,0.541712,0.461456,0.683344,0.399262,Inactive
0.122795,0.277599,0.501512,0.84179,0.43869,0.69734,0.662637,0.65814,Inactive
0.14417,0.226515,0.370965,0.786553,0.626564,0.553872,0.464348,0.651461,Inactive
0.147124,0.290177,0.445285,0.827327,0.588205,0.516022,0.515307,0.600307,Inactive
0.150378,0.289,0.436852,0.811208,0.598099,0.498669,0.557415,0.609571,Inactive
0.147634,0.318899,0.491844,0.870316,0.540174,0.500515,0.37332,0.645713,Inactive
0.1583,0.288141,0.427516,0.789788,0.591231,0.455036,0.50863,0.679925,Inactive
0.094779,0.232033,0.44321,0.482977,0.659654,0.657672,0.304969,0.817553,Inactive
0.155266,0.295135,0.416746,0.781218,0.616417,0.454462,0.620179,0.604569,Inactive
0.451061,0.231979,0.371346,0.791767,0.583657,0.6184,0.365374,0.605085,Inactive
0.302469,0.121803,0.328211,0.663812,0.715127,0.520884,0.514705,0.648669,Inactive
0.298792,0.376038,0.109994,0.505533,0.561396,0.786912,0.54439,0.828565,Inactive
0.153479,0.398077,0.415269,0.650016,0.514697,0.698635,0.549349,0.203563,Inactive
0.165758,0.38538,0.48075,0.782371,0.523734,0.56887,0.489135,0.578511,Inactive
0.201042,0.080898,0.298813,0.523379,0.724762,0.464799,0.711005,0.664645,Inactive
0.243197,0.561856,0.462608,0.616909,0.638434,0.681059,0.337989,0.861884,Inactive
0.311167,0.440421,0.435482,0.76634,0.680304,0.54753,0.546205,0.690562,Inactive
0.445111,0.330431,0.50498,0.700904,0.66589,0.610344,0.675093,0.573712,Inactive
0.055416,0.221904,0.536986,0.359829,0.735992,0.599791,0.291932,0.768857,Inactive
0.049886,0.217894,0.54131,0.370466,0.721975,0.625688,0.260002,0.755249,Inactive
0.052983,0.163002,0.512944,0.412094,0.676332,0.686049,0.330029,0.795961,Inactive
0.056582,0.24887,0.570272,0.389407,0.720444,0.588374,0.293446,0.773071,Inactive
0.423675,0.24077,0.42325,0.787188,0.5781,0.580119,0.391479,0.603836,Inactive
0.065477,0.156785,0.479743,0.348506,0.716142,0.620518,0.494633,0.832637,Inactive
0.059601,0.330831,0.671648,0.475164,0.671412,0.552402,0.25593,0.712282,Inactive
0.548331,0.404324,0.349954,0.557377,0.381834,0.424609,0.704687,0.66081,Inactive
0.28751,0.511459,0.279444,0.738053,0.652853,0.666764,0.450671,0.832689,Inactive
0.389283,0.592374,0.587248,0.538078,0.27104,0,0.691236,1,Inactive
0.37711,0.305917,0.480797,0.727855,0.396729,0.701233,0.645579,0.836798,Inactive
0.272597,0.314425,0.801543,0.414026,0.616981,0.577916,0.65981,0.350717,Inactive
0.793382,0.371406,0.433591,0.386361,0.637822,0.607684,0.503686,0.378445,Inactive
0.402554,0.244018,0.510909,0.681967,0.59891,0.57643,0.634252,0.595563,Inactive
0.50313,0.169526,0.429129,0.564184,0.453102,0.706146,0.467213,0.415958,Inactive
0.062798,0.285624,0.616421,0.40408,0.715745,0.550554,0.359835,0.732148,Inactive
0.555469,0.439486,0.931231,0.804466,0.247385,0.614058,0.361841,0.674668,Inactive
0.316099,0.38754,0.66443,0.501769,0.552904,0.778122,0.268369,0.762807,Inactive
0.373958,0.401959,0.551418,0.380954,0.14161,0.695649,0.569924,0.795811,Inactive
0.088716,0.109157,0.24536,0.672455,0.674977,0.544366,0.538687,0.60005,Inactive
0.061793,0.244575,0.552897,0.357853,0.737751,0.557561,0.375697,0.790163,Inactive
0.062158,0.226254,0.604256,0.372691,0.676,0.695533,0.562434,0.811333,Inactive
0.055455,0.295905,0.645596,0.457812,0.689155,0.591259,0.22563,0.708125,Inactive
0.359462,0.478871,0.410425,0.702241,0.71672,0.469351,0.826655,0.845946,Inactive
0.606297,0.137785,0.21438,0.875731,0.709554,0.645186,0.274545,0.786095,Inactive
0.212997,0.092536,0.244773,0.482674,0.782794,0.385641,0.679158,0.655028,Inactive
0.044555,0.280888,0.618052,0.429754,0.665044,0.600118,0.300775,0.700754,Inactive
0.356349,0.324962,0.376812,0.769331,0.593521,0.678013,0.36097,0.357195,Inactive
0.019704,0.151942,0.479114,0.408057,0.652094,0.618603,0.308869,0.785193,Inactive
0.058565,0.22051,0.528728,0.343886,0.745904,0.58292,0.333968,0.778223,Inactive
0.295852,0.264759,0.685905,0.432675,0.378489,0.90479,0.513673,0.676794,Inactive
0.176444,0.317977,0.324452,0.718957,0.436977,0.547993,0.404436,0.710608,Inactive
0.350931,0.091996,0.348396,0.695705,0.654639,0.61906,0.279377,0.464302,Inactive
0.054141,0.180704,0.506881,0.411049,0.708461,0.616537,0.252775,0.784111,Inactive
0.061302,0.267895,0.660225,0.41565,0.645683,0.689372,0.550148,0.753117,Inactive
0.356624,0.433032,0.823015,0.312474,0.401211,0.680598,0.352708,0.741058,Inactive
0.163176,0.429648,0.215651,0.664274,0.41325,0.575271,0.755024,0.782712,Inactive
0.08864,0.207119,0.47701,0.260321,0.815572,0.509616,0.459528,0.812125,Inactive
0.217829,0.375166,0.367416,0.769962,0.521526,0.768176,0.925123,0.655298,Inactive
0.189686,0.116189,0.294576,0.55082,0.732205,0.427962,0.59164,0.633215,Inactive
0.060736,0.183161,0.496981,0.389492,0.72707,0.582279,0.314963,0.801443,Inactive
0.192086,0.140869,0.322842,0.568003,0.718214,0.408919,0.619436,0.636198,Inactive
0.189773,0.1167,0.294693,0.550689,0.732562,0.426798,0.592879,0.633514,Inactive
0.058189,0.181316,0.499257,0.394795,0.720264,0.594797,0.299563,0.795085,Inactive
0.054848,0.220979,0.536656,0.359947,0.735209,0.602112,0.289199,0.767653,Inactive
0.647401,0.356552,0.430626,0.42873,0.520861,0.582505,0.495235,0.498233,Inactive
0.561523,0.174493,0.246572,0.625997,0.799185,0.591528,0.550433,0.641268,Inactive
0.099209,0.239061,0.495989,0.31613,0.776145,0.438486,0.487298,0.732543,Inactive
0.446575,0.289808,0.168295,0.686917,0.523652,0.668558,0.470524,0.853275,Inactive
0.167693,0.302588,0.434215,0.798583,0.605178,0.425537,0.500481,0.696496,Inactive
0.36645,0.382619,0.455406,0.014952,0.549802,0.572583,0.639992,0.821216,Inactive
0.419509,0.318359,0.420376,0.189391,0.546239,0.423054,0.89419,0.618547,Inactive
0.472534,0.361333,0.611839,0.69747,0.650898,0.449869,0.665802,0.742787,Inactive
0.492116,0.334652,0.570153,0.693825,0.653873,0.489056,0.620887,0.7441,Inactive
0.415408,0.40489,0.681847,0.851487,0.582755,0.541278,0.487056,0.58148,Inactive
0.49479,0.26579,0.445237,0.629275,0.794672,0.474016,0.658195,0.558507,Inactive
