@relation 'crx-weka.filters.supervised.attribute.NominalToBinary-N_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M8'

@attribute 0.456A5=g+0.456A4=u-0.453A5=p-0.453A4=y-0.181A10... numeric
@attribute 0.469A4=l+0.469A5=gg+0.362A7=o+0.338A15-0.276A13=g... numeric
@attribute '0.32 A7=v-0.275A3-0.263A11-0.256A8+0.246A10...' numeric
@attribute -0.525A7=ff-0.506A6=ff-0.244A9+0.216A7=v+0.195A8... numeric
@attribute 0.372A13=s-0.338A13=g+0.334A7=bb+0.291A2-0.28A7=v... numeric
@attribute '0.457A7=j+0.44 A6=j-0.315A7=v+0.28 A6=i+0.258A7=h...' numeric
@attribute -0.433A7=j-0.431A6=j-0.384A6=e-0.323A7=z-0.225A7=dd... numeric
@attribute -0.362A6=e+0.346A13=s-0.33A7=dd-0.32A13=g-0.256A6=i... numeric
@attribute A16 {+,-}

@data
0.761939,0.085397,0.763269,0.590037,0.500532,0.233937,0.718335,0.658454,+
0.771675,0.064118,0.749683,0.545211,0.476118,0.198479,0.655128,0.632303,+
0.830804,0.048368,0.628502,0.532322,0.596277,0.331688,0.769226,0.743997,+
0.849601,0.069295,0.643549,0.51449,0.769499,0.414304,0.826227,0.565631,+
0.730617,0.078158,0.730697,0.47111,0.622328,0.197962,0.480996,0.431625,+
0.796923,0.06422,0.748202,0.483291,0.396619,0.275598,0.664865,0.667054,+
0.751745,0.066932,0.794173,0.569983,0.468855,0.235419,0.71621,0.666894,+
0.76935,0.068017,0.706038,0.581248,0.536866,0.396475,0.837092,0.714389,+
0.767471,0.062156,0.692049,0.505713,0.507586,0.415413,0.796837,0.680133,+
0.195745,0.053294,0.733697,0.596703,0.466308,0.251214,0.72473,0.68663,+
0.789343,0.069494,0.541685,0.219021,0.662241,0.129739,0.785243,0.847607,+
0.795446,0.058029,0.726499,0.559437,0.505329,0.217216,0.676537,0.691299,+
0.815868,0.055353,0.648031,0.530115,0.54564,0.29617,0.724567,0.690096,+
0.723691,0.06535,0.760524,0.483404,0.509526,0.319108,0.765061,0.628913,+
0.8132,0.059637,0.716209,0.571111,0.529569,0.178874,0.662041,0.696844,+
0.561993,0,0.394761,0.807833,0.680192,0.079358,0.591219,0.977023,+
0.811275,0.052429,0.663297,0.522696,0.591382,0.316627,0.751479,0.708524,+
0.349903,0.030366,0.595176,0.613388,0.497926,0.381503,0.773558,0.796173,+
0.768036,0.066383,0.692962,0.532298,0.555272,0.35576,0.795974,0.700034,+
0.654132,0.090364,0.807522,0.367261,0.755785,0.451637,0.849381,0.403295,+
0.606029,0.084718,0.877006,0.421359,0.472722,0.252145,0.694239,0.529781,+
0.671892,0.076298,0.790983,0.470194,0.525745,0.422816,0.795218,0.599895,+
0.701453,0.077748,0.83445,0.497258,0.469307,0.298431,0.725062,0.608448,+
0.670541,0.090824,0.838375,0.518003,0.494542,0.250977,0.71339,0.579561,+
0.670077,0.079388,0.846215,0.49755,0.49461,0.240754,0.702057,0.587217,+
0.726192,0.071131,0.714294,0.518509,0.595563,0.368356,0.792554,0.671489,+
0.170431,0.05514,0.760244,0.595264,0.492383,0.210257,0.679407,0.61931,+
0.658116,0.081408,0.828605,0.470071,0.462106,0.267664,0.709427,0.605777,+
0.705586,0.076482,0.757953,0.471298,0.698971,0.454775,0.859015,0.542515,+
0.639698,0.123136,0.858749,0.531994,0.824947,0.40549,0.793383,0.849869,+
0.844454,0.050839,0.662558,0.505111,0.541129,0.33138,0.752984,0.730931,+
0.781071,0.072082,0.762556,0.532497,0.60529,0.190424,0.658364,0.764929,+
0.778974,0.068576,0.748768,0.524525,0.530959,0.202284,0.658723,0.678621,+
0.247821,0.044618,0.723932,0.56303,0.411788,0.284175,0.690001,0.693444,+
0.756117,0.066276,0.790628,0.442139,0.380991,0.278715,0.669602,0.64568,+
0.739981,0.072398,0.766347,0.551242,0.487117,0.265714,0.727462,0.674911,+
0.739634,0.164728,0.68057,0.664694,0.416796,0.304677,0.753411,0.584323,+
0.769369,0.06047,0.75456,0.475114,0.443107,0.240598,0.655278,0.677419,+
0.711841,0.104116,0.807585,0.539095,0.494923,0.222736,0.677397,0.69063,+
0.756646,0.064467,0.721042,0.507766,0.48625,0.300949,0.742228,0.64458,+
0.800167,0.062088,0.654191,0.55936,0.586877,0.372,0.802471,0.686208,+
0.676149,0.123994,0.831294,0.494071,0.992359,0.307505,0.556008,0.559955,-
0.730667,0.078623,0.756869,0.504708,0.759511,0.369866,0.788136,0.588996,-
0.740295,0.084699,0.766604,0.585926,0.569947,0.333014,0.763893,0.69794,-
0.682066,0.125678,0.913044,0.549936,0.841353,0.195515,0.616683,0.964936,-
0.132836,0.058992,0.769484,0.511978,0.539667,0.213857,0.676783,0.594519,-
0.748363,0.06846,0.79755,0.48297,0.416003,0.258002,0.692686,0.630287,-
0.664487,0.081027,0.845731,0.495938,0.484476,0.249354,0.692566,0.554496,-
0.136282,0.056378,0.794379,0.535789,0.424136,0.260273,0.666006,0.588296,-
0.166981,0.048466,0.758681,0.573653,0.482544,0.219944,0.696298,0.658363,-
0.668436,0.077035,0.827359,0.473202,0.475926,0.241601,0.677815,0.569402,-
0.701345,0.081926,0.613592,0.106579,0.575409,0.128315,0.762583,0.729377,-
0.639743,0.130746,0.953643,0.480236,0.727962,0.237243,0.599239,0.917216,-
0.632924,0.129915,0.958541,0.49396,0.773996,0.205101,0.611394,0.910401,-
0.680031,0.082883,0.836997,0.468284,0.528535,0.289586,0.689506,0.62195,-
0.648904,0.079362,0.860255,0.481946,0.462626,0.249225,0.688306,0.549157,-
0.67141,0.121793,0.867194,0.50705,0.889195,0.368589,0.737744,0.76618,-
0.607286,0.135919,0.983082,0.548257,0.7665,0.291952,0.697868,0.824125,-
0.148171,0.054006,0.779549,0.557044,0.478257,0.208467,0.664002,0.594669,-
0.667361,0.078423,0.840466,0.48656,0.48267,0.239583,0.681232,0.559313,-
0.59023,0.068449,0.748727,0.172622,0.426836,0.978048,0.025157,0.855176,-
0.237339,0.041483,0.630982,0.548866,0.653269,0.291504,0.72917,0.680754,-
0.694849,0.07497,0.797448,0.472587,0.500605,0.223249,0.661485,0.582175,-
0.185284,0.048595,0.738176,0.566937,0.511437,0.18235,0.641656,0.624323,-
0.218985,0.043476,0.659952,0.601833,0.663262,0.33669,0.779253,0.694796,-
0.150195,0.053101,0.771168,0.576192,0.511668,0.245142,0.697136,0.622734,-
0.689259,0.08531,0.790207,0.393941,0.693375,0.501541,0.842889,0.432869,-
0.124249,0.056284,0.803627,0.537723,0.450986,0.217596,0.668067,0.572808,-
0.637311,0.125322,0.90334,0.489218,0.854331,0.386379,0.750259,0.739154,-
0.223533,0.052775,0.728812,0.563513,0.453811,0.288428,0.683069,0.660553,-
0.765881,0.068503,0.78581,0.478118,0.409553,0.301764,0.696626,0.65941,-
0.162945,0.057056,0.733279,0.540312,0.668605,0.377116,0.797227,0.550876,-
0.201553,0.049347,0.711347,0.571705,0.538316,0.196805,0.652532,0.639285,-
0.752683,0.066186,0.791193,0.476775,0.407585,0.249189,0.681337,0.633233,-
0.72113,0.068839,0.778825,0.521338,0.494884,0.227287,0.688654,0.639107,-
0.24153,0.042713,0.654615,0.582044,0.655341,0.414697,0.837544,0.61094,-
0.919703,0.042263,0.508743,0.511085,0.861315,0.028825,0.219911,0.349171,-
0.599584,0.124564,0.950785,0.478948,0.702224,0.230822,0.637378,0.808664,-
0.184133,0.051546,0.738317,0.528405,0.450443,0.211678,0.621547,0.609974,-
0.227632,0.040577,0.64033,0.621591,0.653628,0.375603,0.816271,0.725634,-
0.723368,0.067831,0.801041,0.498249,0.423213,0.284884,0.693463,0.638311,-
0.736237,0.069569,0.800583,0.55127,0.481363,0.22959,0.708319,0.644853,-
0.132392,0.063257,0.61779,0.170302,0.494272,0.188428,0.789987,0.755027,-
0.688211,0.078495,0.823032,0.515319,0.486855,0.229051,0.686916,0.584998,-
0.720562,0.072238,0.76171,0.440756,0.607775,0.398742,0.785921,0.578418,-
0.206955,0.040675,0.687753,0.602526,0.532093,0.349913,0.78685,0.67133,-
0.760484,0.067688,0.790539,0.453006,0.393962,0.2867,0.681836,0.65187,-
0.856549,0.053797,0.651812,0.569849,0.581811,0.355601,0.782821,0.742876,-
0.807473,0.074166,0.681495,0.544665,0.529167,0.180157,0.653642,0.711384,+
0.830779,0.069356,0.71972,0.608163,0.672582,0.19104,0.677072,0.831003,+
0.756515,0.06771,0.697892,0.489899,0.481397,0.38908,0.770838,0.674217,+
0.768428,0.067696,0.777354,0.475474,0.453514,0.247086,0.687494,0.646734,+
1,0.031547,0.553348,0.713747,0.451118,0.198505,0.674746,0.925177,+
0.784228,0.062255,0.742453,0.510756,0.40824,0.224854,0.634097,0.647614,+
0.832015,0.059617,0.716299,0.497219,0.475091,0.262062,0.666068,0.713189,+
0.826838,0.060863,0.723738,0.527132,0.443977,0.274929,0.675878,0.706772,+
0.804883,0.053383,0.655671,0.556117,0.588174,0.365819,0.800307,0.730383,+
0.791853,0.077315,0.735275,0.538606,0.727541,0.345039,0.782415,0.712704,+
0.802114,0.063785,0.745125,0.539213,0.443428,0.253021,0.690173,0.674188,+
0.745885,0.076807,0.749138,0.442831,0.719497,0.444406,0.849292,0.475698,+
0.644604,0.122563,0.932555,0.46572,0.644228,0.229138,0.601986,0.816726,+
0.898497,0.046509,0.522395,0.531784,0.96497,0.047865,0.251377,0.35326,+
0.705145,0.069023,0.811576,0.498379,0.454535,0.239699,0.691984,0.613579,+
0.842484,0.152315,0.526525,0.570972,0.693881,0.308544,0.563934,0.34994,+
0.76398,0.064888,0.725358,0.465534,0.627429,0.33946,0.760938,0.578401,+
0.838136,0.05727,0.674169,0.563331,0.537938,0.371734,0.793485,0.726051,+
0.769659,0.06794,0.717415,0.501892,0.599937,0.37722,0.787059,0.664008,+
0.199052,0.047252,0.746326,0.562407,0.461676,0.194148,0.664075,0.635219,+
0.75098,0.072347,0.797752,0.527936,0.555152,0.198777,0.665641,0.755443,+
0.760787,0.066022,0.769123,0.50943,0.412417,0.231149,0.656603,0.65085,+
0.82938,0.064597,0.654089,0.465292,0.470669,0.351552,0.716117,0.680424,+
0.78065,0.063499,0.686038,0.507614,0.498591,0.393253,0.783431,0.714996,+
0.744947,0.056691,0.584602,0.148791,0.473222,0.496703,0.361971,0.872692,+
0.2571,0.039493,0.62718,0.58845,0.556106,0.329529,0.780452,0.745556,+
0.736068,0.068219,0.787336,0.5044,0.446897,0.190461,0.660181,0.619973,+
0.773343,0.065817,0.694416,0.549667,0.538035,0.365273,0.806289,0.71257,+
0.764623,0.067514,0.69333,0.516714,0.530674,0.351601,0.786777,0.694384,+
0.764461,0.066022,0.783702,0.514472,0.436257,0.267665,0.703915,0.655947,+
0.370415,0.027421,0.553111,0.579257,0.520518,0.323774,0.714422,0.794153,+
0.787063,0.068717,0.700341,0.480438,0.599333,0.380101,0.75678,0.597101,+
0.850232,0.056396,0.66546,0.505841,0.501449,0.197498,0.619126,0.724385,+
0.789724,0.064455,0.685334,0.51714,0.531104,0.403823,0.80322,0.734056,+
0.880103,0.054789,0.669565,0.478732,0.468446,0.223753,0.630532,0.746295,+
0.806036,0.061108,0.697586,0.553381,0.630783,0.3002,0.739017,0.803461,+
0.747448,0.066402,0.774256,0.548547,0.459055,0.245835,0.698886,0.654288,+
0.76814,0.063176,0.691575,0.536727,0.557618,0.360675,0.796489,0.706342,+
0.159839,0.031164,0.617511,0.321693,0.362753,0.934779,0,0.946796,+
0.241547,0.035312,0.638672,0.54532,0.517764,0.378502,0.775358,0.720051,+
0.924679,0.048356,0.491586,0.45242,0.847915,0.041412,0.188059,0.344228,+
0.719415,0.063978,0.739874,0.512126,0.562831,0.349347,0.787849,0.659464,+
0.204523,0.061763,0.734644,0.579935,0.699105,0.347672,0.786739,0.680385,+
0.749748,0.071472,0.697894,0.514088,0.51816,0.377715,0.802365,0.664728,+
0.740421,0.073294,0.803773,0.516503,0.571164,0.206215,0.669183,0.744982,+
0.719298,0.069577,0.79507,0.552036,0.490394,0.309463,0.767868,0.658708,+
0.171832,0.050975,0.677776,0.567785,0.702911,0.302111,0.613826,0.4433,+
0.837955,0.082735,0.667182,0.510402,0.54173,0.246387,0.640253,0.686481,+
0.766169,0.067112,0.709585,0.40709,0.508905,0.367239,0.721119,0.641333,+
0.717463,0.075643,0.808576,0.490922,0.452378,0.274729,0.693801,0.601947,+
0.674772,0.104859,0.799557,0.482507,0.439564,0.313836,0.716776,0.603815,+
0.767758,0.06613,0.715758,0.506571,0.583029,0.371862,0.778331,0.666612,+
0.101607,0.069453,0.822076,0.542526,0.579327,0.258936,0.722144,0.605589,+
0.141593,0.058259,0.79178,0.545292,0.440503,0.266169,0.675944,0.591649,+
0.744744,0.069438,0.729052,0.484034,0.725774,0.345635,0.768975,0.584863,+
0.744178,0.068271,0.68548,0.494374,0.662752,0.311298,0.744175,0.664105,+
0.753175,0.064382,0.680217,0.460941,0.622672,0.334352,0.722569,0.67459,+
0.734346,0.068641,0.742673,0.450864,0.507986,0.358782,0.751527,0.612721,+
0.144679,0.058908,0.792198,0.591265,0.491054,0.233352,0.70593,0.615397,+
0.659978,0.118276,0.900859,0.514658,0.67866,0.193971,0.586134,0.792157,+
0.681024,0.076942,0.821447,0.428197,0.423467,0.236962,0.631463,0.55892,+
0.784312,0.065267,0.759929,0.460077,0.380653,0.266168,0.656143,0.655443,+
0.765657,0.060134,0.761688,0.517541,0.418167,0.187597,0.640435,0.636248,+
0.879122,0.074683,0.598373,0.585229,0.685321,0.31555,0.754293,0.680856,+
0.705391,0.118426,0.851798,0.413743,0.841688,0.449152,0.757153,0.697218,+
0.761209,0.066604,0.787464,0.447832,0.37716,0.280758,0.671742,0.647085,+
0.83943,0.061237,0.666655,0.490893,0.514396,0.192884,0.612673,0.700653,+
0.796656,0.068316,0.748407,0.479873,0.389628,0.270584,0.664807,0.671948,+
0.840194,0.053203,0.631699,0.554851,0.6244,0.29891,0.744742,0.733691,+
0.752016,0.0678,0.737192,0.441942,0.609567,0.310298,0.731022,0.537129,+
0.772589,0.065367,0.740451,0.519868,0.50232,0.206867,0.667122,0.667288,+
0.738229,0.070509,0.786599,0.515089,0.451777,0.286553,0.701458,0.651933,+
0.796201,0.058221,0.701457,0.428166,0.466272,0.367225,0.733128,0.675137,+
0.68825,0.074386,0.807115,0.507966,0.500125,0.246554,0.683496,0.590365,+
0.698394,0.077166,0.764611,0.448602,0.684025,0.44319,0.848295,0.533646,+
0.685127,0.077579,0.811819,0.503514,0.539442,0.300147,0.752911,0.632159,+
0.220223,0.042326,0.734611,0.600234,0.456872,0.186432,0.673744,0.678769,+
0.276209,0.046604,0.64687,0.58969,0.769142,0.431689,0.856037,0.56517,+
0.242688,0.043521,0.674697,0.592252,0.63398,0.355752,0.789275,0.61599,+
0.229826,0.043472,0.706729,0.646156,0.526136,0.281846,0.757624,0.718223,+
0.871959,0.046807,0.614208,0.566361,0.618477,0.252794,0.719676,0.764818,+
0.196112,0.049237,0.754478,0.615363,0.463754,0.225806,0.69579,0.637378,+
0.765468,0.060533,0.741247,0.523681,0.458666,0.252234,0.704359,0.678065,+
0.771133,0.061613,0.72664,0.426635,0.442749,0.381987,0.744902,0.658205,+
0.707404,0.082048,0.77032,0.384621,0.721554,0.485532,0.830616,0.453408,+
0.729747,0.067093,0.79115,0.515709,0.463449,0.236053,0.692015,0.636856,+
0.782308,0.065846,0.762686,0.479315,0.397325,0.282785,0.671932,0.655154,+
0.204162,0.047326,0.743368,0.567087,0.467571,0.183523,0.66911,0.65578,+
0.898233,0.058494,0.589314,0.522857,0.529717,0.33234,0.711162,0.753249,+
0.643425,0.174648,0.872185,0.371529,0.612454,0.214319,0.574729,0.678762,+
0.818659,0.058629,0.685582,0.521141,0.523786,0.352158,0.770636,0.695159,+
0.733701,0.066935,0.772215,0.508475,0.504375,0.214768,0.68505,0.66783,+
0.819726,0.059211,0.679145,0.517445,0.652521,0.332116,0.763559,0.638598,+
0.840374,0.05756,0.633531,0.610957,0.603393,0.357284,0.808365,0.777412,+
0.136978,0.100576,0.856693,0.61496,0.773234,0.213458,0.622771,0.882833,+
0.840247,0.064831,0.489762,0.247623,0.692674,0.107105,0.767994,0.887042,+
0.77324,0.068004,0.746397,0.496085,0.553262,0.292242,0.727019,0.570524,+
0.2193,0.049828,0.708902,0.616737,0.492308,0.239307,0.717026,0.7077,+
0.656056,0.119115,0.912076,0.482371,0.713026,0.189662,0.594116,0.805941,+
0.799777,0.061502,0.666446,0.544777,0.577297,0.345532,0.791414,0.733886,+
0.73186,0.091502,0.572967,0.146124,0.591642,0.124262,0.764021,0.759564,+
0.824571,0.056506,0.659661,0.51315,0.682185,0.11563,0.467134,0.51117,+
0.22637,0.044517,0.711657,0.586479,0.438692,0.251671,0.670559,0.672725,+
0.778462,0.064669,0.74328,0.479889,0.467637,0.217726,0.633557,0.640511,+
0.963963,0.038985,0.459909,0.588066,1,0.026248,0.238184,0.410689,+
0.679064,0.076003,0.822601,0.451605,0.415759,0.250305,0.639688,0.558555,+
0.670978,0.077177,0.829878,0.422019,0.401454,0.237978,0.627837,0.546402,+
0.729548,0.075936,0.80373,0.449758,0.452052,0.305389,0.688631,0.623864,+
0.670085,0.080274,0.803976,0.462463,0.630821,0.396884,0.799321,0.502743,+
0.635475,0.078855,0.847149,0.454452,0.47682,0.238089,0.682453,0.573363,+
0.143134,0.057123,0.749048,0.507039,0.477009,0.283632,0.698381,0.626335,+
0.750517,0.067288,0.799943,0.514559,0.429533,0.278098,0.71408,0.646742,+
0.685515,0.080956,0.796728,0.487716,0.47341,0.253517,0.695171,0.61052,+
0.745472,0.080908,0.747819,0.52791,0.435333,0.243436,0.698426,0.662132,+
0.81283,0.064784,0.703765,0.581439,0.566695,0.307882,0.744558,0.750599,+
0.768846,0.059507,0.696384,0.549466,0.574017,0.393688,0.827922,0.703986,+
0.711904,0.079238,0.802546,0.553336,0.524496,0.232412,0.699579,0.609795,+
0.904405,0.068929,0.575522,0.467514,0.761233,0.388451,0.758995,0.583165,+
0.773027,0.070307,0.775637,0.474133,0.384791,0.286493,0.681237,0.659215,+
0.668972,0.08444,0.808213,0.413868,0.713361,0.475645,0.857419,0.417943,+
0.715964,0.085585,0.783499,0.502626,0.407151,0.203523,0.649124,0.566745,+
0.711641,0.114152,0.877095,0.480591,0.703588,0.221489,0.607501,0.862489,+
0.771786,0.064958,0.741804,0.547559,0.515109,0.269628,0.734937,0.69041,+
0.132052,0.095578,0.844892,0.585476,0.698057,0.196906,0.602422,0.843679,+
0.804382,0.062774,0.71405,0.507763,0.507792,0.149201,0.625328,0.65649,+
0.722069,0.071868,0.791622,0.54601,0.538222,0.215748,0.68485,0.636538,+
0.798278,0.110888,0.700674,0.532871,0.349712,0.279562,0.664127,0.623261,+
0.706986,0.075159,0.814215,0.466396,0.531375,0.325097,0.756816,0.525585,+
0.22574,0.071512,0.633635,0.636886,0.535531,0.345919,0.780548,0.650055,+
0.827823,0.062696,0.625509,0.582023,0.631934,0.336628,0.784558,0.749908,+
0.798197,0.056132,0.710014,0.453095,0.42792,0.382508,0.747349,0.689634,+
0.764712,0.067405,0.718301,0.482534,0.624817,0.33773,0.756743,0.563983,+
0.755302,0.062313,0.750356,0.521119,0.462362,0.256886,0.709029,0.667123,+
0.977977,0.038726,0.437813,0.590967,0.94122,0,0.203251,0.397505,+
0.818938,0.059602,0.691969,0.54232,0.557446,0.376598,0.799972,0.709094,+
0.801199,0.056903,0.653692,0.491467,0.472535,0.375468,0.753792,0.704677,+
0.752257,0.059317,0.701137,0.494041,0.524898,0.363093,0.785535,0.661251,+
0.588332,0.092593,0.881593,0.424247,0.502712,0.255262,0.712022,0.539534,-
0.637397,0.080494,0.796216,0.435918,0.53602,0.354792,0.769187,0.542278,-
0.638784,0.083704,0.84125,0.471311,0.495816,0.253706,0.695221,0.54473,-
0.595305,0.090723,0.899954,0.41366,0.50724,0.252799,0.692879,0.542904,-
0.637045,0.092289,0.845532,0.369762,0.523777,0.351175,0.728507,0.450788,-
0.103182,0.061703,0.802121,0.475418,0.453235,0.260209,0.672246,0.576526,-
0.651119,0.083187,0.800686,0.459474,0.635984,0.365359,0.788215,0.598952,-
0.061662,0.074993,0.65051,0.073147,0.565288,0.174113,0.771412,0.695365,-
0.603858,0.266153,0.64677,0.405897,0.46614,0.443629,0.751119,0.280024,-
0.151682,0.052968,0.692931,0.512822,0.531266,0.406487,0.788563,0.631534,-
0.564278,0.099998,0.727851,0.031401,0.588556,0.174289,0.803615,0.647227,-
0.080144,0.064309,0.823791,0.513232,0.469625,0.245064,0.698438,0.556819,-
0.085349,0.057066,0.710031,0.447806,0.726467,0.159797,0.319433,0.0197,-
0.634402,0.089688,0.860978,0.38962,0.508523,0.264726,0.666489,0.569435,-
0.730825,0.075074,0.804677,0.471704,0.527274,0.277056,0.711615,0.633245,+
0.635705,0.08192,0.826428,0.400268,0.456813,0.414169,0.857534,0.335013,+
0.597559,0.178118,0.916554,0.422412,0.578993,0.212109,0.605854,0.635866,+
0.623527,0.085797,0.864129,0.46374,0.513494,0.27132,0.719179,0.549214,-
0.101745,0.069931,0.825628,0.523055,0.53987,0.201813,0.660111,0.660754,-
0.106329,0.061702,0.779341,0.495362,0.53177,0.204738,0.672473,0.588984,-
0.617167,0.12903,0.873091,0.495095,0.771361,0.376014,0.757839,0.829553,-
0.609027,0.089782,0.882482,0.417401,0.508209,0.241714,0.680107,0.543763,-
0.641598,0.084826,0.794293,0.347087,0.574515,0.456387,0.804211,0.462572,-
0.170508,0.056534,0.715899,0.472039,0.476032,0.384877,0.752191,0.608237,-
0.053014,0.078272,0.653288,0.142017,0.558725,0.154298,0.78719,0.661892,-
0.610433,0.131104,0.978862,0.499873,0.724537,0.214243,0.611936,0.887594,-
0.097583,0.058806,0.761614,0.506847,0.541172,0.353556,0.781937,0.573814,-
0.110504,0.062644,0.73637,0.516036,0.539279,0.367581,0.801775,0.614219,-
0.578173,0.128232,0.963681,0.447576,0.665693,0.227161,0.621957,0.753304,-
0.702754,0.075851,0.827953,0.403567,0.368849,0.286493,0.680381,0.595905,-
0.691759,0.082994,0.789903,0.461928,0.445465,0.212822,0.662907,0.566611,-
0.690573,0.071138,0.769114,0.444569,0.485974,0.302176,0.744987,0.579389,-
0.611324,0.094117,0.701769,0.065741,0.507834,0.217116,0.811112,0.687466,-
0.662783,0.084422,0.849116,0.46475,0.446711,0.221363,0.700093,0.570576,-
0.130011,0.05555,0.79331,0.538111,0.453591,0.234582,0.703088,0.598091,-
0,0.055383,0.741418,0.20542,0.373527,0.962667,0.019985,0.819118,-
0.577323,0.139336,0.999182,0.493747,0.755628,0.232943,0.638892,0.863125,-
0.692359,0.076087,0.816328,0.427661,0.400254,0.219974,0.648853,0.582445,-
0.658381,0.079971,0.856695,0.456928,0.439993,0.219527,0.69679,0.570288,-
0.678402,0.076739,0.836433,0.451459,0.460696,0.205474,0.685212,0.585697,-
0.586349,0.09544,0.723488,0.03861,0.462977,0.209182,0.798079,0.661783,-
0.629347,0.092194,0.683452,0.081459,0.526059,0.209952,0.807279,0.703268,-
0.672283,0.086311,0.631567,0.066475,0.627689,0.125368,0.775724,0.725699,-
0.664486,0.082742,0.853844,0.502546,0.471232,0.256929,0.724217,0.561467,-
0.649364,0.077278,0.853856,0.435631,0.405088,0.211986,0.663877,0.533766,-
0.700913,0.074925,0.79707,0.506015,0.485464,0.238357,0.696124,0.595184,-
0.665751,0.085989,0.64204,0.041134,0.577379,0.16172,0.768029,0.735031,-
0.561154,0.136825,1,0.471711,0.721135,0.259862,0.656195,0.77356,-
0.575317,0.130923,0.974417,0.484426,0.693385,0.260026,0.66001,0.764254,-
0.657108,0.08371,0.855948,0.381923,0.391409,0.296908,0.676959,0.557072,-
0.710055,0.076968,0.752113,0.388905,0.485688,0.383836,0.740102,0.586797,-
0.15962,0.065409,0.555748,0.198583,0.624215,0.124858,0.755745,0.735969,-
0.56137,0.100273,0.729982,0.069621,0.560424,0.182623,0.808694,0.64345,-
0.558849,0.100729,0.726065,0.052847,0.532517,0.172326,0.789866,0.621908,-
0.574638,0.124986,0.910009,0.444694,0.765945,0.34346,0.722961,0.787087,-
0.013535,0.054312,0.727275,0.201413,0.394215,0.95406,0.014176,0.829114,-
0.635084,0.087552,0.866271,0.440907,0.450695,0.270919,0.692456,0.553954,-
