@relation 'vote-weka.filters.supervised.attribute.NominalToBinary-N_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M8'

@attribute -0.325el-salvador-aid+0.315aid-to-nicaraguan-contras-0.312physician-fee-freeze+0.303mx-missile+0.294adoption-of-the-budget-resolution... numeric
@attribute '-0.62water-project-cost-sharing-0.506synfuels-corporation-cutback+0.39 immigration+0.195anti-satellite-test-ban+0.167education-spending...' numeric
@attribute '0.664immigration+0.37 religious-groups-in-schools+0.359synfuels-corporation-cutback+0.334export-administration-act-south-africa+0.208adoption-of-the-budget-resolution...' numeric
@attribute 0.601synfuels-corporation-cutback-0.524water-project-cost-sharing-0.373export-administration-act-south-africa+0.307duty-free-exports-0.202handicapped-infants... numeric
@attribute 0.832handicapped-infants-0.318duty-free-exports-0.239water-project-cost-sharing+0.216immigration+0.188synfuels-corporation-cutback... numeric
@attribute 0.659export-administration-act-south-africa-0.54immigration-0.323water-project-cost-sharing+0.206crime+0.193religious-groups-in-schools... numeric
@attribute -0.512duty-free-exports-0.431export-administration-act-south-africa+0.328mx-missile+0.268religious-groups-in-schools-0.242immigration... numeric
@attribute 0.405religious-groups-in-schools-0.399synfuels-corporation-cutback-0.399education-spending+0.355adoption-of-the-budget-resolution+0.307duty-free-exports... numeric
@attribute Class {democrat,republican}

@data
0.071192,0.586634,0.673191,0.228338,0.37793,0.519575,0.335107,0.46276,republican
0.639517,0.514046,0.805203,0.560672,0.762503,0.566835,0.752788,0.421977,democrat
0.896666,0.387976,0.316579,0.162346,0.349602,0.460578,0.541801,0.537282,democrat
0.078769,0.360025,0.253112,0.421093,0.314809,0.281157,0.744316,0.664311,republican
0.987322,0.239468,0.398704,0.483325,0.47356,0.559344,0.435748,0.376785,democrat
0.837935,0.136731,0.531218,0.511852,0.487531,0.678401,0.415353,0.611008,democrat
0.820273,0.434062,0.381648,0.157193,0.40665,0.552545,0.63085,0.517554,democrat
0.967559,0.42864,0.256244,0.23682,0.383477,0.496027,0.438393,0.540189,democrat
0.967559,0.42864,0.256244,0.23682,0.383477,0.496027,0.438393,0.540189,democrat
0.980237,0.650493,0.220788,0.442544,0.493196,0.637827,0.503189,0.622647,democrat
0.977594,0.788985,0.471381,0.433329,0.591797,0.402023,0.39899,0.611289,democrat
1,0.461321,0.363248,0.68905,0.583279,0.701144,0.500545,0.459244,democrat
0.987322,0.239468,0.398704,0.483325,0.47356,0.559344,0.435748,0.376785,democrat
0.445334,0.801547,0.233941,0.236751,0.702567,0.819334,0.630947,0.181157,republican
0.987322,0.239468,0.398704,0.483325,0.47356,0.559344,0.435748,0.376785,democrat
0.002643,0.420901,0.242168,0.44567,0.299439,0.343957,0.705145,0.505478,republican
0.987322,0.239468,0.398704,0.483325,0.47356,0.559344,0.435748,0.376785,democrat
0.894023,0.526468,0.567172,0.15313,0.448203,0.224774,0.437601,0.525924,democrat
0.073835,0.448141,0.422598,0.237554,0.27933,0.755379,0.439307,0.474118,republican
0.967559,0.42864,0.256244,0.23682,0.383477,0.496027,0.438393,0.540189,democrat
0.002643,0.420901,0.242168,0.44567,0.299439,0.343957,0.705145,0.505478,republican
0.120393,0.526674,0.594269,0.148993,0.761408,0.502871,0.291646,0.489365,republican
0.199162,0.327304,0.35462,0.133632,0.678177,0.675875,0.435017,0.659556,republican
0,0.559394,0.492761,0.436454,0.39804,0.108153,0.600945,0.49412,republican
0.926464,0.559149,0.674175,0.60536,0.648005,0.429891,0.499754,0.444979,democrat
0.903062,0.442616,0.269457,0.114778,0.531642,0.538925,0.663639,0.418483,democrat
0.967559,0.42864,0.256244,0.23682,0.383477,0.496027,0.438393,0.540189,democrat
0.91574,0.664469,0.234,0.320503,0.641361,0.680724,0.728436,0.500942,democrat
0.980237,0.650493,0.220788,0.442544,0.493196,0.637827,0.503189,0.622647,democrat
0.922825,0.253445,0.411916,0.361284,0.621725,0.602241,0.660994,0.255079,democrat
0.987322,0.239468,0.398704,0.483325,0.47356,0.559344,0.435748,0.376785,democrat
0.903062,0.442616,0.269457,0.114778,0.531642,0.538925,0.663639,0.418483,democrat
0.91574,0.664469,0.234,0.320503,0.641361,0.680724,0.728436,0.500942,democrat
0.747297,0.435867,0.320662,0.134279,0.631869,0.661795,0.611147,0.467644,democrat
0.002643,0.420901,0.242168,0.44567,0.299439,0.343957,0.705145,0.505478,republican
0.987322,0.239468,0.398704,0.483325,0.47356,0.559344,0.435748,0.376785,democrat
0.157759,0.466863,0.463217,0.187803,0.234254,0.756389,0.535029,0.398521,republican
0.903062,0.442616,0.269457,0.114778,0.531642,0.538925,0.663639,0.418483,democrat
0.049201,0.499434,0.413838,0.357109,0.781517,0.091449,0.557484,0.520724,republican
0.620919,0.257671,0.598554,0.409235,0.677374,0.876065,0.690477,0.310741,democrat
0.019763,0.370223,0.635221,0.68296,0.488123,0.17147,0.5983,0.330716,republican
0.090956,0.397462,0.815651,0.474844,0.468014,0.582892,0.332463,0.299357,republican
0.071192,0.586634,0.673191,0.228338,0.37793,0.519575,0.335107,0.46276,republican
0.071192,0.586634,0.673191,0.228338,0.37793,0.519575,0.335107,0.46276,republican
0.071192,0.586634,0.673191,0.228338,0.37793,0.519575,0.335107,0.46276,republican
0.8949,0.517231,0.653215,0.231478,0.45287,0.348376,0.455339,0.694164,democrat
0.002643,0.420901,0.242168,0.44567,0.299439,0.343957,0.705145,0.505478,republican
0.903062,0.442616,0.269457,0.114778,0.531642,0.538925,0.663639,0.418483,democrat
0.922825,0.253445,0.411916,0.361284,0.621725,0.602241,0.660994,0.255079,democrat
0.922825,0.253445,0.411916,0.361284,0.621725,0.602241,0.660994,0.255079,democrat
0.199345,0.458235,0.361292,0.109305,0.651895,0.795581,0.450033,0.40852,republican
0.169908,0.329024,0.582675,0.435155,0.358501,0.875602,0.49085,0.218512,republican
0,0.559394,0.492761,0.436454,0.39804,0.108153,0.600945,0.49412,republican
0.896666,0.387976,0.316579,0.162346,0.349602,0.460578,0.541801,0.537282,democrat
0.967559,0.42864,0.256244,0.23682,0.383477,0.496027,0.438393,0.540189,democrat
0.909344,0.609828,0.281122,0.36807,0.459321,0.602378,0.606598,0.619741,democrat
0.760603,0.493491,0.680665,0.314682,0.776917,0.453875,0.555004,0.130009,republican
0.987322,0.239468,0.398704,0.483325,0.47356,0.559344,0.435748,0.376785,democrat
0.513558,0.823862,0.535368,0.226949,0.874716,0.541845,0.570243,0.545597,republican
0.850949,0.595998,0.825287,0.678555,0.70972,0.64546,0.606541,0.593491,democrat
0.174554,0.272766,0.726673,0.632622,0.516596,0.130795,0.737519,0.630916,democrat
0.252807,0.305416,0.943073,0.481316,0.481573,0.609545,0.523349,0.534708,democrat
0.332916,0.43244,0.950641,0.374678,0.392861,0.575122,0.669773,0.296237,democrat
0.378134,0.184579,0.875095,0.377395,0.88042,0.530041,0.51906,0.720145,democrat
0.082693,0.831149,0.310927,0.638305,0.536967,0.1618,0.544595,0.411245,republican
0.690563,0.860023,0.685095,0.334585,0.752432,0.68784,0.79526,0.476356,democrat
0.780342,0.720753,0.681178,0.577217,0.871723,0.663004,0.671469,0.147619,democrat
0.08387,0.808487,0.637735,0.434063,0.487649,0.661375,0.399904,0.545219,republican
0.015321,0.642754,0.206711,0.651394,0.409158,0.485757,0.769942,0.587936,republican
0,0.559394,0.492761,0.436454,0.39804,0.108153,0.600945,0.49412,republican
0.265485,0.527269,0.907617,0.687041,0.591292,0.751345,0.588146,0.617166,democrat
0.012678,0.781247,0.457304,0.642179,0.507759,0.249953,0.665742,0.576578,republican
0.015321,0.642754,0.206711,0.651394,0.409158,0.485757,0.769942,0.587936,republican
0.484615,0.367429,0.985498,0.383183,0.442852,0.572747,0.75825,0.532448,democrat
0.159996,0.74761,0.648679,0.409486,0.503019,0.598575,0.439076,0.704052,republican
0.977594,0.788985,0.471381,0.433329,0.591797,0.402023,0.39899,0.611289,democrat
0.997357,0.599814,0.613841,0.679834,0.68188,0.46534,0.396345,0.447886,democrat
0.828914,0.371212,0.700502,0.49361,0.672388,0.44641,0.279056,0.414588,democrat
0.913433,0.581092,0.573222,0.729585,0.726956,0.46433,0.300623,0.523483,democrat
0.520977,0.451689,0.321183,0.425456,0.778282,0.787811,0.498243,1,democrat
0.621248,0.32552,0.630315,0.639973,0.655118,0.834854,0.700074,0.79118,democrat
0.268128,0.388776,0.657023,0.696256,0.492691,0.987149,0.692346,0.628524,democrat
0.459349,0.55373,0.716413,0.634451,1,0.742072,0.434588,0.571939,democrat
0.830403,0.531207,0.666427,0.109436,0.601035,0.391274,0.680586,0.572458,democrat
0.012678,0.781247,0.457304,0.642179,0.507759,0.249953,0.665742,0.576578,republican
0.309557,0.40606,0.437259,0.717147,0.896941,0.983769,0.445429,0.516668,democrat
0.540657,0.378658,0.546328,0.617905,0.914502,1,0.638835,0.724665,democrat
0.613633,0.376852,0.607313,0.640819,0.689283,0.89075,0.658539,0.774574,democrat
0.450409,0.630004,0.156793,0.580624,0.788247,0.472234,0.948812,0.70917,democrat
0.633917,0.59659,0.870753,0.109155,0.240731,0.464495,0.916505,0.523219,democrat
0.911013,0.169414,0.381088,0.53223,0.484472,0.502438,0.381561,0.468988,democrat
0.073835,0.448141,0.422598,0.237554,0.27933,0.755379,0.439307,0.474118,republican
0.548775,0.575323,0.883657,0.086926,0.307693,0.51044,0.856617,0.620253,republican
0.967559,0.42864,0.256244,0.23682,0.383477,0.496027,0.438393,0.540189,democrat
0.967559,0.42864,0.256244,0.23682,0.383477,0.496027,0.438393,0.540189,democrat
0.928393,0.848946,0.550304,0.512673,0.208319,0.418727,0.442451,0.584685,democrat
0.071192,0.586634,0.673191,0.228338,0.37793,0.519575,0.335107,0.46276,republican
0.766327,0.524356,0.718273,0.335476,0.112572,0.395984,0.357259,0.73645,democrat
0,0.559394,0.492761,0.436454,0.39804,0.108153,0.600945,0.49412,republican
0.967559,0.42864,0.256244,0.23682,0.383477,0.496027,0.438393,0.540189,democrat
0.760557,0.555924,0.745041,0.288595,0.136355,0.411026,0.438913,0.764594,democrat
1,0.461321,0.363248,0.68905,0.583279,0.701144,0.500545,0.459244,democrat
0.348025,0.471558,0.295423,0.07967,0.694206,0.729552,0.428933,0.384553,republican
0.859169,0.367867,0.710603,0.602359,0.199595,0.283338,0.320822,0.431026,democrat
0.015321,0.642754,0.206711,0.651394,0.409158,0.485757,0.769942,0.587936,republican
0.149857,0.550055,0.753699,0.202577,0.391033,0.541699,0.435154,0.604128,republican
0.071192,0.586634,0.673191,0.228338,0.37793,0.519575,0.335107,0.46276,republican
0.154763,0.849151,0.577401,0.508537,0.521524,0.696824,0.296495,0.548125,republican
0.20696,0.406903,0.384294,0.108458,0.617731,0.739685,0.491568,0.425125,republican
0.918358,0.4886,0.335167,0.316165,0,0.512731,0.481854,0.513584,democrat
0.071192,0.586634,0.673191,0.228338,0.37793,0.519575,0.335107,0.46276,republican
0.002643,0.420901,0.242168,0.44567,0.299439,0.343957,0.705145,0.505478,republican
0.859086,0.484008,0.793289,0.548302,0.245732,0.432211,0.464059,0.319094,democrat
0.709782,0.26513,0.843117,0.630885,0.213567,0.402395,0.300427,0.665249,democrat
0.706576,0.507999,0.473782,0.114497,0.171338,0.612146,0.899558,0.369244,democrat
0.812401,0.357471,0.415526,0.218465,0.421232,0.630126,0.499651,0.802556,democrat
0.641179,0.789052,0.757345,0.438257,0.395236,0.584838,0.823706,0.700787,democrat
0.08387,0.808487,0.637735,0.434063,0.487649,0.661375,0.399904,0.545219,republican
0.08387,0.808487,0.637735,0.434063,0.487649,0.661375,0.399904,0.545219,republican
0.086513,0.669994,0.387142,0.443278,0.389049,0.897179,0.504104,0.556577,republican
0.012678,0.781247,0.457304,0.642179,0.507759,0.249953,0.665742,0.576578,republican
0.167348,0.351376,0.750582,0.479996,0.410966,0.490925,0.243413,0.319085,republican
0.769307,0.623278,0.797206,0.305671,0.126441,0.457047,0.58785,0.647831,democrat
0.717488,0.859107,0.774962,0.389353,0.384325,0.641744,0.877893,0.608584,democrat
0.910221,0.600591,0.367165,0.446418,0.463988,0.72598,0.624336,0.787981,democrat
0.554758,0.96039,0.561497,0.304532,0.366098,0.491488,0.669269,0.204993,republican
0.323475,0.950098,0.709834,0.310754,0.388483,0.688387,0.691355,0.308528,republican
0.323475,0.950098,0.709834,0.310754,0.388483,0.688387,0.691355,0.308528,republican
0.780421,0.520587,0.712781,0.574064,0.232629,0.410086,0.364012,0.177727,democrat
0.626145,0.673834,0.72991,0.20939,0.261503,0.47782,0.71305,0.384758,democrat
0.717488,0.859107,0.774962,0.389353,0.384325,0.641744,0.877893,0.608584,democrat
0.073835,0.448141,0.422598,0.237554,0.27933,0.755379,0.439307,0.474118,republican
0.626317,0.951824,0.584254,0.483385,0.20302,0.51592,0.49569,0.26185,democrat
0.090956,0.397462,0.815651,0.474844,0.468014,0.582892,0.332463,0.299357,republican
0.8575,0.808281,0.610638,0.438199,0.174444,0.383278,0.54586,0.581778,democrat
0.120393,0.526674,0.594269,0.148993,0.761408,0.502871,0.291646,0.489365,republican
0.30577,0.127149,0.411021,0.537839,0.758293,0.318991,0.939799,0.599989,democrat
0.718261,0.277301,0.917314,0.531758,0.136513,0.336042,0.545377,0.593453,democrat
0.666359,0.629271,0.977756,0.561384,0.440532,0.669612,0.978657,0.442274,democrat
0.002643,0.420901,0.242168,0.44567,0.299439,0.343957,0.705145,0.505478,republican
0.155531,0.190491,0.346324,0.563079,0.727924,0.39158,0.754761,0.293081,republican
0.128153,0.430995,0.180862,0.317421,0.672005,0.38416,0.715871,0.439879,republican
0.580015,0.198871,0.745002,0.41378,0.243125,0.70671,0.963873,0.463377,democrat
0,0.559394,0.492761,0.436454,0.39804,0.108153,0.600945,0.49412,republican
0.639431,0.426815,0.965782,0.407906,0.431651,0.609206,0.750564,0.459756,democrat
0.221519,0.378698,0.4563,0.39183,0.131622,0.71701,0.304901,0.689807,democrat
0.246009,0.684582,0.451672,0.426608,0.378594,0.958613,0.649131,0.558357,democrat
0.331759,0.236978,0.710097,0.441628,0.372061,0.902255,0.681736,0.453863,democrat
0.150144,0.518196,0.440215,0.18865,0.268418,0.812285,0.493494,0.381915,republican
0.223343,0.282035,0.783643,0.427733,0.851948,0.570716,0.379841,0.419945,democrat
0.79457,0.347355,0.934931,0.482854,0.125601,0.392948,0.599565,0.50125,democrat
0.507358,0.827411,0.624009,0.426817,0.713951,0.717263,0.277744,0.670002,republican
0.527122,0.638239,0.766469,0.673322,0.804035,0.78058,0.275099,0.506598,republican
0.385173,0.611397,0.479246,0.490329,0.226177,0.782702,0.559618,0.909593,democrat
0.856467,0.659877,0.692122,0.55264,0.887093,0.600204,0.710641,0.306451,democrat
0.977594,0.788985,0.471381,0.433329,0.591797,0.402023,0.39899,0.611289,democrat
0.071192,0.586634,0.673191,0.228338,0.37793,0.519575,0.335107,0.46276,republican
0.844822,0.586429,0.646094,0.232475,0.064725,0.241478,0.481063,0.49932,democrat
0.186821,0.563848,0.827109,0.712802,0.578189,0.72922,0.488099,0.475799,democrat
0.967559,0.42864,0.256244,0.23682,0.383477,0.496027,0.438393,0.540189,democrat
0.915715,0.627093,0.58576,0.306949,0.098601,0.276927,0.377654,0.502226,democrat
0.768813,0.950499,0.568459,0.475287,0.26491,0.506165,0.44066,0.470973,republican
0.948156,0.659774,0.692763,0.759179,0.298403,0.482044,0.439806,0.421281,democrat
0.948156,0.659774,0.692763,0.759179,0.298403,0.482044,0.439806,0.421281,democrat
0.977594,0.788985,0.471381,0.433329,0.591797,0.402023,0.39899,0.611289,democrat
0.851218,0.64107,0.598972,0.184908,0.246766,0.319825,0.6029,0.380521,democrat
0.948156,0.659774,0.692763,0.759179,0.298403,0.482044,0.439806,0.421281,democrat
0.967559,0.42864,0.256244,0.23682,0.383477,0.496027,0.438393,0.540189,democrat
0.548775,0.575323,0.883657,0.086926,0.307693,0.51044,0.856617,0.620253,democrat
0.948156,0.659774,0.692763,0.759179,0.298403,0.482044,0.439806,0.421281,democrat
0.977594,0.788985,0.471381,0.433329,0.591797,0.402023,0.39899,0.611289,democrat
0.935478,0.437921,0.72822,0.553455,0.188684,0.340244,0.375009,0.338823,democrat
0.980237,0.650493,0.220788,0.442544,0.493196,0.637827,0.503189,0.622647,democrat
0.283269,0.476957,0.401911,0.059554,0.606819,0.796591,0.545755,0.332922,republican
0.980237,0.650493,0.220788,0.442544,0.493196,0.637827,0.503189,0.622647,democrat
0.073835,0.448141,0.422598,0.237554,0.27933,0.755379,0.439307,0.474118,republican
0.155116,0.605356,0.71381,0.178587,0.332854,0.520585,0.43083,0.387163,republican
0.725727,0.554045,0.573108,0.792878,0.21454,0.875843,0.654155,0.436877,democrat
0.931036,0.710453,0.29971,0.521889,0.109719,0.654531,0.546651,0.596043,democrat
0.878141,0.609872,0.83914,0.763053,0.269195,0.570197,0.560953,0.586615,democrat
0.086513,0.669994,0.387142,0.443278,0.389049,0.897179,0.504104,0.556577,republican
0.728266,0.578343,0.642672,0.791693,0.212272,0.960768,0.71503,0.419411,democrat
0.296876,0.529842,0.70431,0.252475,0.440278,0.514348,0.370917,0.765867,republican
0.877263,0.61911,0.753097,0.684705,0.264527,0.446595,0.543215,0.418375,democrat
0.908657,0.276048,0.318196,0.509087,0.460458,0.53722,0.335701,0.235418,democrat
0.854643,0.756539,0.364779,0.516737,0.166767,0.746498,0.6357,0.576314,democrat
0.967559,0.42864,0.256244,0.23682,0.383477,0.496027,0.438393,0.540189,democrat
0.927342,0.549912,0.760218,0.683708,0.652672,0.553493,0.517492,0.613219,democrat
0.977594,0.788985,0.471381,0.433329,0.591797,0.402023,0.39899,0.611289,democrat
0.241487,0.703469,0.485266,0.368613,0.391239,0.976209,0.658338,0.605741,republican
0.717755,0.873897,0.698949,0.419082,0.311907,0.612577,0.749672,0.46948,democrat
0.154763,0.849151,0.577401,0.508537,0.521524,0.696824,0.296495,0.548125,republican
0.196702,0.596728,0.611886,0.100089,0.750496,0.559777,0.345833,0.397162,republican
0.931036,0.710453,0.29971,0.521889,0.109719,0.654531,0.546651,0.596043,democrat
0.920182,0.391937,0.66251,0.352068,0.720326,0.366437,0.556794,0.243721,democrat
0.861021,0.660551,0.446088,0.525763,0.080511,0.742684,0.667797,0.761376,democrat
0.071192,0.586634,0.673191,0.228338,0.37793,0.519575,0.335107,0.46276,republican
0.950799,0.521281,0.44217,0.768395,0.199802,0.717848,0.544006,0.432639,democrat
0.720904,0.138808,0.666721,0.540974,0.037912,0.571846,0.649577,0.604811,democrat
0.120393,0.526674,0.594269,0.148993,0.761408,0.502871,0.291646,0.489365,republican
0.234117,0.346906,0.882947,0.571124,0.332951,0.562119,0.207263,0.56243,democrat
0.573133,0.453274,0.672953,0.302753,0.632869,0.428372,0.334591,0.93927,democrat
0,0.559394,0.492761,0.436454,0.39804,0.108153,0.600945,0.49412,republican
0.967559,0.42864,0.256244,0.23682,0.383477,0.496027,0.438393,0.540189,democrat
0.78542,0.275461,0.525079,0.606422,0.158043,0.611109,0.514071,0.422655,democrat
0.931036,0.710453,0.29971,0.521889,0.109719,0.654531,0.546651,0.596043,democrat
0.543359,0.086648,0.564809,0.667624,0.227005,0.683135,0.249016,0.849239,democrat
1,0.461321,0.363248,0.68905,0.583279,0.701144,0.500545,0.459244,democrat
0.156528,0.719896,0.240765,0.439405,0.418256,0.809026,0.382957,0.391243,republican
0.076126,0.498517,0.503705,0.411878,0.41341,0.045353,0.640117,0.652953,republican
0.073835,0.448141,0.422598,0.237554,0.27933,0.755379,0.439307,0.474118,republican
0.804392,0.517466,0.653616,0.767116,0.227642,0.897968,0.754202,0.578244,democrat
0.91574,0.664469,0.234,0.320503,0.641361,0.680724,0.728436,0.500942,democrat
0.073835,0.448141,0.422598,0.237554,0.27933,0.755379,0.439307,0.474118,republican
0.305538,0.672944,0.78518,0.12902,0.336942,0.567702,0.630883,0.443035,republican
0.073835,0.448141,0.422598,0.237554,0.27933,0.755379,0.439307,0.474118,republican
0.150564,0.639469,0.687055,0.203685,0.334752,0.488671,0.476649,0.39387,republican
0.858749,0.246593,0.463763,0.587323,0.133262,0.606952,0.337668,0.419071,democrat
0.071192,0.586634,0.673191,0.228338,0.37793,0.519575,0.335107,0.46276,republican
0.705859,0.906007,0.750805,0.535972,0.22079,0.661647,0.613475,0.571457,democrat
0.154763,0.849151,0.577401,0.508537,0.521524,0.696824,0.296495,0.548125,republican
0.931036,0.710453,0.29971,0.521889,0.109719,0.654531,0.546651,0.596043,democrat
0.619333,0.581944,0.415903,0.299132,0.606087,0.827132,0.772278,0.573426,democrat
0.964916,0.567133,0.506838,0.227604,0.482078,0.260223,0.334193,0.52883,democrat
0.371695,0.844352,0.592749,0.557098,0.377818,0.648033,0.164608,0.736461,republican
0.41126,0.832872,0.446337,0.342199,0.222919,0.878245,0.855443,0.222852,republican
0.920964,0.6459,0.67891,0.674682,0.738928,0.557307,0.485394,0.428157,democrat
0.457525,0.650393,0.38907,0.598548,0.279674,0.888365,0.359648,0.841802,republican
0.844822,0.586429,0.646094,0.232475,0.064725,0.241478,0.481063,0.49932,democrat
0.901285,0.718931,0.453764,0.482233,0.602708,0.345117,0.344802,0.703492,democrat
0.997357,0.599814,0.613841,0.679834,0.68188,0.46534,0.396345,0.447886,democrat
0.705004,0.749249,0.390896,0.372467,0.381894,0.83534,0.801058,0.551643,democrat
0.155078,0.430079,0.270729,0.372189,0.303898,0.338064,0.798504,0.572107,republican
0.548775,0.575323,0.883657,0.086926,0.307693,0.51044,0.856617,0.620253,republican
1,0.461321,0.363248,0.68905,0.583279,0.701144,0.500545,0.459244,democrat
0.002643,0.420901,0.242168,0.44567,0.299439,0.343957,0.705145,0.505478,republican
0.002643,0.420901,0.242168,0.44567,0.299439,0.343957,0.705145,0.505478,republican
0.897543,0.378738,0.402622,0.240694,0.35427,0.584181,0.559539,0.705522,democrat
0.073835,0.448141,0.422598,0.237554,0.27933,0.755379,0.439307,0.474118,republican
0.913097,0.802962,0.484593,0.311287,0.739962,0.44492,0.624236,0.489584,democrat
0.901201,0.835072,0.53645,0.428176,0.648845,0.49399,0.488039,0.591561,democrat
0.156229,0.73332,0,0.721995,0.472241,0.433053,0.545386,0.425509,republican
0.227421,0.76056,0.18043,0.513879,0.452131,0.844475,0.279548,0.39415,republican
0.950799,0.521281,0.44217,0.768395,0.199802,0.717848,0.544006,0.432639,democrat
0.91574,0.664469,0.234,0.320503,0.641361,0.680724,0.728436,0.500942,democrat
0.913097,0.802962,0.484593,0.311287,0.739962,0.44492,0.624236,0.489584,democrat
0.769332,0.660654,0.445446,0.319224,0.669201,0.860844,0.938632,0.646547,democrat
0.906701,0.748321,0.531715,0.358854,0.557921,0.366574,0.502398,0.608383,democrat
0.980237,0.650493,0.220788,0.442544,0.493196,0.637827,0.503189,0.622647,democrat
0.980237,0.650493,0.220788,0.442544,0.493196,0.637827,0.503189,0.622647,democrat
0.913097,0.802962,0.484593,0.311287,0.739962,0.44492,0.624236,0.489584,democrat
0.154763,0.849151,0.577401,0.508537,0.521524,0.696824,0.296495,0.548125,republican
0.758039,0.885628,0.469154,0.331896,0.783907,0.514762,0.613239,0.328488,republican
0.980237,0.650493,0.220788,0.442544,0.493196,0.637827,0.503189,0.622647,democrat
0.91574,0.664469,0.234,0.320503,0.641361,0.680724,0.728436,0.500942,democrat
0.967559,0.42864,0.256244,0.23682,0.383477,0.496027,0.438393,0.540189,democrat
0.783846,0.452675,0.494756,0.197997,0.118957,0.643782,0.828247,0.557212,democrat
0.977594,0.788985,0.471381,0.433329,0.591797,0.402023,0.39899,0.611289,democrat
0.314118,0.947165,0.549593,0.331534,0.460869,0.631137,0.428667,0.212085,republican
0.490911,0.834294,0.36745,0.473879,0.790503,0.543176,0,0.597732,republican
0.253299,0.489831,0.345078,0.63329,0.438087,0.44961,1,0.98212,democrat
0.079818,0.628778,0.193499,0.773436,0.260993,0.44286,0.544695,0.709642,republican
0.469786,0.840471,0.727088,0.359543,0.494009,0.714064,0.585623,0.680525,republican
0.086513,0.669994,0.387142,0.443278,0.389049,0.897179,0.504104,0.556577,republican
0.012678,0.781247,0.457304,0.642179,0.507759,0.249953,0.665742,0.576578,republican
0.787503,0.909009,0.628585,0.385479,0.413532,0.553591,0.756747,0.443251,democrat
0.52163,0.642018,0.397573,0.289414,0.778886,0.933164,0.646362,0.718487,republican
0.138005,0.66041,0.389326,0.538257,0.906606,0.170449,0.661452,0.762015,republican
0.086513,0.669994,0.387142,0.443278,0.389049,0.897179,0.504104,0.556577,republican
0.813644,0.623849,0.852353,0.641011,0.41736,0.613094,0.786199,0.464909,democrat
0.878141,0.609872,0.83914,0.763053,0.269195,0.570197,0.560953,0.586615,democrat
0.725623,0.716835,0.893265,0.782477,0.310873,0.724963,0.61083,0.408053,democrat
0.781917,0.162879,0.618628,0.290683,0.558642,0.654945,0.88555,0.417506,democrat
0.526555,0.189324,0.902501,0.449685,0.687179,0.488154,0.389536,0.766253,democrat
0.462058,0.203301,0.915713,0.327644,0.835344,0.531051,0.614782,0.644547,democrat
0.610654,0.737215,0.769278,0.213305,0.800889,0.635536,0.877952,0.729316,democrat
