@relation 'crx-weka.filters.supervised.attribute.NominalToBinary_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A50-M8'

@attribute '0.454A5=g+0.454A4=u-0.449A4=y-0.449A5=p-0.186A10-0.18A9+0.158A11+0.127A8+0.108A6=q+0.108A3+0.101A2-0.084A7=ff-0.077A6=ff-0.056A6=j+0.056A7=z-0.051A6=k+0.051A13=g-0.051A4=l-0.051A5=gg+0.043A7=h-0.041A13=s-0.04A7=j+0.038A1-0.033A13=p-0.03A14-0.026A7=o+0.025A7=bb+0.025A6=e+0.025A6=x-0.016A6=aa+0.016A6=cc+0.015A12-0.014A7=dd-0.014A6=d+0.013A15+0.009A6=w-0.009A6=c-0.005A6=r-0.003A7=n+0.001A6=m+0.001A6=i+0    A7=v' numeric
@attribute '0.49 A4=l+0.49 A5=gg+0.379A7=o+0.366A15+0.255A13=p-0.238A13=g+0.154A13=s+0.12 A6=ff-0.113A4=y-0.113A5=p+0.092A9+0.092A10+0.088A7=ff-0.07A11-0.063A7=v+0.059A14+0.05 A4=u+0.05 A5=g-0.047A7=h-0.041A6=c-0.034A6=q+0.034A6=i+0.033A6=cc-0.032A6=x-0.032A6=aa+0.031A7=bb-0.03A6=w+0.03 A6=m-0.022A6=j+0.02 A3-0.017A8-0.016A6=k-0.012A7=j+0.011A12+0.011A6=r-0.01A7=z+0.009A6=d+0.008A1-0.008A7=dd-0.006A7=n-0.004A20    A6=e' numeric
@attribute '0.31 A7=v-0.28A11-0.276A3+0.271A13=s-0.267A13=g+0.263A10-0.262A8+0.237A9-0.224A2-0.186A6=ff-0.182A7=z-0.179A7=h-0.179A7=ff-0.15A15-0.149A6=e+0.142A5=g+0.142A4=u+0.133A14-0.13A4=y-0.13A5=p+0.126A6=m-0.1A4=l-0.1A5=gg+0.089A6=d-0.082A7=o-0.082A6=x+0.075A6=aa-0.074A1+0.064A6=w-0.062A6=cc+0.06 A6=k+0.047A6=i+0.044A6=c-0.043A6=q-0.043A6=r-0.041A6=j-0.039A7=dd+0.033A13=p-0.015A7=n-0.011A7=j-0.003A7=bb+0.001A12' numeric
@attribute '-0.523A7=ff-0.504A6=ff-0.244A9+0.223A7=v+0.192A8-0.183A1+0.171A12-0.153A6=j+0.149A11+0.138A15-0.133A7=j-0.122A10+0.121A14-0.117A5=g-0.117A4=u+0.111A4=l+0.111A5=gg+0.109A7=h+0.105A6=c+0.103A5=p+0.103A4=y+0.102A6=cc+0.093A6=x+0.085A6=w+0.076A6=m-0.075A2+0.071A7=o+0.045A3-0.044A6=i+0.041A6=r+0.038A6=q-0.031A13=g+0.03 A7=z+0.026A13=s+0.024A6=aa+0.024A6=e+0.022A6=k+0.02 A6=d+0.019A13=p-0.018A7=dd+0.017A7=n-0.004A7=bb' numeric
@attribute '0.368A13=s-0.343A13=g+0.333A7=bb+0.29 A2-0.284A7=v+0.262A6=e+0.252A6=i+0.231A7=z+0.223A8-0.192A1-0.168A6=q-0.149A6=aa+0.143A6=m+0.135A10-0.114A4=l-0.114A5=gg-0.105A7=o-0.105A15-0.101A6=j-0.097A6=w+0.094A7=dd-0.077A7=j+0.077A12+0.072A6=d+0.071A7=h-0.05A6=c+0.05 A14-0.047A6=cc+0.043A3+0.024A4=y+0.024A5=p-0.017A11-0.016A7=n-0.012A13=p-0.01A6=ff-0.01A5=g-0.01A4=u-0.008A9+0.003A6=r-0.003A7=ff+0.003A6=x-0.001A6=k' numeric
@attribute '0.49 A7=j+0.474A6=j-0.3A7=v+0.253A6=i+0.248A7=h+0.231A7=bb-0.221A6=ff-0.2A7=ff-0.151A7=z+0.148A1-0.138A6=e-0.116A6=w+0.111A14-0.102A3+0.096A12-0.095A6=m-0.092A6=aa+0.09 A6=x-0.084A2+0.072A6=r+0.07 A6=q+0.068A7=n+0.063A10-0.055A7=dd-0.052A8-0.043A11+0.041A6=cc-0.04A6=k-0.035A13=s+0.034A13=g+0.033A7=o-0.023A6=d-0.019A9-0.018A4=y-0.018A5=p+0.016A4=u+0.016A5=g+0.012A15+0.012A4=l+0.012A5=gg-0.011A6=c-0.004A13=p' numeric
@attribute '-0.402A6=e-0.392A7=j-0.391A6=j-0.338A7=z-0.237A7=dd+0.235A7=h+0.233A6=i+0.211A7=bb-0.188A7=v+0.15 A14+0.129A6=ff-0.119A3+0.118A6=x+0.113A6=r+0.112A13=g+0.111A7=ff+0.11 A7=n+0.107A12-0.101A13=s-0.092A1-0.085A6=aa+0.077A6=cc-0.062A6=m-0.044A13=p-0.042A2-0.036A6=w+0.032A6=q-0.029A11+0.019A6=c-0.01A6=d-0.01A15-0.01A4=l-0.01A5=gg-0.009A10+0.007A6=k+0.004A9-0.004A8-0.001A7=o+0.001A5=p+0.001A4=y+0.001A4=u+0.001A5=g' numeric
@attribute '-0.356A6=e+0.346A13=s-0.326A7=dd-0.321A13=g-0.265A6=i+0.23 A6=m+0.2  A11-0.199A9-0.19A7=bb-0.185A7=z-0.175A10+0.166A8-0.159A7=n+0.154A7=j+0.152A7=ff+0.149A6=j-0.145A6=r+0.128A6=ff+0.115A2-0.105A7=o+0.091A7=h-0.089A6=aa-0.087A15+0.087A6=cc+0.085A6=x+0.074A6=q+0.053A7=v+0.045A1+0.039A5=p+0.039A4=y-0.038A5=g-0.038A4=u+0.03 A12+0.028A6=d+0.017A3+0.013A6=k-0.013A14-0.012A13=p-0.009A6=c-0.003A5=gg-0.003A4=l+0.003A6=w' numeric
@attribute A16 {+,-}

@data
1.823237,-0.217441,-0.213115,0.917604,0.693469,-1.156315,-0.566503,1.477203,+
1.809517,-0.315484,-0.477394,0.840226,-0.216647,-0.986235,-0.553552,0.594668,+
-2.571455,-1.228757,-1.083048,1.328621,-1.656384,0.053749,-0.096487,0.733772,+
1.60439,-0.523666,0.246833,-0.124035,-2.051421,-0.005045,-0.364804,0.257753,+
1.485204,-0.229788,-0.139476,1.16019,-0.749656,-0.263352,0.274603,0.550569,+
1.438151,3.416686,-1.050232,2.536914,-1.661851,0.159369,0.565286,-0.390958,+
1.71945,-0.63605,-0.43051,0.263878,-1.279399,-0.463981,-0.53819,0.578309,+
1.224648,0.821034,0.780659,1.019488,-0.677569,-0.783798,-0.357022,0.721738,+
1.615871,-0.354959,-0.966663,0.633421,-0.719384,0.182865,0.481799,0.249293,+
1.990492,-0.23539,-2.138329,1.226436,0.534182,1.000554,1.25546,0.657012,+
0.878015,1.565508,1.320752,0.356,5.476261,0.280747,-1.659779,-0.638906,-
1.393548,0.087862,-0.231012,0.539397,2.611495,0.884563,1.045246,-0.378988,-
1.475933,0.237237,-0.034982,1.549722,0.268303,0.507473,0.740381,0.764559,-
0.926728,1.353159,2.74167,1.063739,3.616925,-1.120504,-1.037931,3.545238,-
-3.542752,-0.846693,-0.23958,0.702071,-0.105602,-0.835509,-0.316654,-0.279837,-
1.546179,-0.462478,0.376073,0.356195,-1.621798,-0.298061,-0.130789,0.104293,-
0.846878,-0.149701,1.302531,0.500188,-0.810097,-0.466865,-0.175782,-0.692748,-
-3.505748,-1.019117,0.218712,1.006375,-1.535455,-0.265694,-0.428753,-0.353135,-
-3.242043,-1.203466,-0.474657,1.448203,-0.796953,-0.772649,-0.094117,0.382656,-
0.876711,-0.244744,0.94377,0.234782,-0.897667,-0.520568,-0.32382,-0.527257,-
1.150159,0.570184,-2.793762,-4.138561,0.221377,-1.988649,0.553321,1.110094,-
0.565314,1.413043,3.49772,0.25451,2.207414,-0.58516,-1.219582,3.054789,-
0.511508,1.368372,3.560711,0.409208,2.776503,-0.997974,-1.106744,2.990142,-
0.968167,-0.045466,1.174158,0.162536,-0.260973,0.026338,-0.157622,-0.005258,-
0.716048,-0.256792,1.543385,0.338114,-1.076365,-0.46023,-0.223846,-0.744584,-
0.839338,1.384375,1.954752,0.527892,4.225397,0.886009,0.478281,1.456638,-
0.304575,1.522965,4.057626,1.051999,2.680326,-0.038249,-0.081731,2.084597,-
-3.404898,-1.06263,-0.07865,1.250694,-0.861134,-0.8949,-0.484877,-0.277134,-
0.871281,-0.231969,1.189301,0.389967,-0.829892,-0.570239,-0.30605,-0.641408,-
0.22044,-0.321735,-0.474904,-3.34446,-1.449848,9.123536,-6.840701,2.460858,-
-2.665552,-1.035966,-2.749112,1.107221,1.361048,0.109665,0.400576,0.600361,-
1.098951,-0.232352,0.402519,0.22438,-0.594588,-0.725742,-0.513998,-0.396669,-
-3.091116,-1.140005,-0.842588,1.365148,-0.447621,-1.185666,-0.742078,0.027713,-
-2.814866,-1.041706,-2.209435,1.73268,1.489337,0.594996,0.993287,0.735535,-
-3.385198,-1.064951,-0.223926,1.472135,-0.43673,-0.478513,-0.062499,0.006571,-
1.034333,0.239692,0.409866,-0.775442,1.780469,2.45688,1.766041,-2.022309,-
-3.607203,-1.051679,0.356858,1.024769,-1.20062,-0.788267,-0.439708,-0.500218,-
0.551152,1.406241,2.611691,0.320225,3.792357,1.08828,0.621792,1.180256,-
-2.775858,-0.942976,-0.945189,1.326908,-1.150112,0.093229,-0.180491,0.39177,-
1.68993,-0.421787,0.189043,0.297251,-1.701856,0.235774,-0.043629,0.389062,-
-3.290131,-0.754366,-0.828011,0.99688,1.510297,1.01699,1.184212,-0.773191,-
-2.954797,-1.02892,-1.306488,1.418297,-0.108907,-1.012023,-0.590408,0.182513,-
1.583409,-0.529722,0.247555,0.285473,-1.723979,-0.390196,-0.262306,0.136709,-
1.333151,-0.403771,0.055193,0.807014,-0.667659,-0.711653,-0.208147,0.185862,-
-2.620535,-1.044769,-2.284645,1.497452,1.378939,1.480366,1.707168,-0.155828,-
2.98016,-0.559837,-4.903624,0.618543,3.879784,-2.682283,-5.634281,-2.738819,-
0.241426,1.178675,3.387133,0.244156,1.894002,-0.678714,-0.791869,1.943043,-
-3.1056,-1.034175,-0.807222,0.917896,-1.208392,-0.799631,-0.951918,-0.124001,-
-2.738599,-1.092483,-2.569837,1.969096,1.386246,1.055027,1.462482,1.051125,-
1.339938,-0.500468,0.452271,0.541348,-1.535844,0.0108,-0.100132,0.170154,-
1.454306,-0.432804,0.446321,1.161893,-0.829043,-0.708458,0.004899,0.243353,-
-3.547962,-0.237428,-2.854645,-3.350275,-0.755927,-1.247896,0.933564,1.362096,-
1.049628,-0.176107,0.890698,0.734354,-0.777254,-0.710177,-0.251178,-0.371196,-
1.306598,-0.174144,-0.181888,-0.196084,0.74086,1.28579,1.044353,-0.48512,-
-2.90842,-1.233881,-1.724793,1.768302,-0.128175,0.756446,1.067708,0.504837,-
1.639758,-0.468265,0.256587,0.001223,-1.891304,0.07846,-0.220541,0.318571,-
2.457458,-0.520504,-2.230239,1.345972,0.485097,0.8351,1.026934,1.243954,-
2.041348,0.079668,-1.640946,1.082643,-0.229957,-1.216766,-0.597919,0.930849,+
2.241974,-0.183025,-0.972777,1.805825,1.53778,-1.167037,-0.33695,2.149546,+
1.614245,-0.164628,-1.331609,0.417635,-0.780051,1.245893,0.892748,0.537533,+
1.711123,-0.428256,0.009694,0.258806,-1.158926,-0.422052,-0.186621,0.270295,+
3.684762,-1.105024,-4.123693,3.113936,-1.132432,-0.952474,-0.285568,3.128965,+
1.857538,-0.540593,-0.611657,0.69905,-1.733558,-0.664027,-0.822057,0.266854,+
2.24791,-0.542018,-1.092585,0.515784,-0.886621,-0.209126,-0.393098,0.940028,+
2.209346,-0.519141,-0.941479,0.879333,-1.270138,-0.06766,-0.283519,0.875667,+
2.027433,-0.560942,-2.178696,1.1869,0.570641,0.946582,1.248917,1.113225,+
1.902009,0.109752,-0.613527,0.948584,2.223873,0.595867,0.967453,0.899701,+
2.006624,-0.477691,-0.559864,1.024332,-1.280541,-0.361005,-0.151849,0.549105,+
1.514155,0.049961,-0.378571,-0.195916,2.117132,1.766632,1.806028,-1.569793,+
0.612212,1.161049,3.067808,0.098125,1.177004,-0.655107,-1.19634,2.02293,+
2.80313,-0.434848,-4.631863,0.841806,5.153991,-2.508637,-5.264644,-2.710491,+
1.187314,-0.490233,0.621718,0.538227,-1.148689,-0.543294,-0.156258,-0.07162,+
2.282053,3.45912,-3.823388,1.360398,1.763164,0.374235,-1.554485,-2.815178,+
1.671584,-0.337042,-0.888201,0.099809,1.002081,0.60354,0.734035,-0.472274,+
2.301045,-0.460218,-1.813953,1.275579,-0.057543,1.023011,1.151178,1.072601,+
1.718096,-0.195225,-1.003532,0.528818,0.690318,1.075665,1.073263,0.430162,+
-2.978116,-1.211144,-0.705278,1.317747,-1.058308,-1.051136,-0.482,0.140934,+
1.566929,-0.314306,0.403571,0.871889,0.084701,-1.051172,-0.483835,1.388124,+
1.658539,-0.477921,-0.119692,0.681273,-1.681875,-0.618519,-0.569854,0.305369,+
2.21501,-0.143362,-2.129011,0.126576,-0.902059,0.872725,0.262127,0.610194,+
1.814298,-0.280325,-1.568283,0.622921,-0.556504,1.295387,1.05311,0.953787,+
1.52142,-0.278221,-3.448087,-3.620759,-0.943869,2.953942,-3.515961,2.613561,+
-2.497211,-1.099984,-2.817624,1.594249,0.176329,0.549792,1.012723,1.272373,+
1.450529,-0.452393,0.190708,0.614959,-1.257718,-1.124883,-0.567997,-0.000486,+
1.753599,-0.217698,-1.420231,1.115954,-0.062964,0.92544,1.285671,0.937871,+
1.677993,-0.155931,-1.437543,0.726431,-0.15901,0.780167,1.055414,0.753402,+
1.686587,-0.508943,0.126155,0.727967,-1.368739,-0.197561,0.009659,0.361527,+
-1.550148,-1.317426,-4.175333,1.49252,-0.249226,0.581024,0.287832,1.770037,+
1.865093,-0.120851,-1.276803,0.283893,0.650763,1.102473,0.720023,-0.292556,+
2.400963,-0.522047,-2.02148,0.624189,-0.559413,-0.947581,-0.957365,1.05886,+
1.88614,-0.237005,-1.575784,0.726422,-0.152335,1.406015,1.291036,1.144398,+
2.644515,-0.584559,-1.960639,0.299036,-0.959585,-0.612227,-0.801021,1.287241,+
2.03202,-0.390938,-1.386791,1.148644,1.068304,0.14595,0.467727,1.872817,+
1.548424,-0.474674,-0.037888,1.136894,-1.087945,-0.475628,-0.06352,0.340797,+
1.715485,-0.308147,-1.48637,0.959697,0.173058,0.869048,1.172582,0.870184,+
-3.29101,-1.420745,-3.029494,-1.528906,-2.210391,8.66515,-7.11445,3.405084,+
-2.629459,-1.289515,-2.629319,1.088101,-0.288211,1.168962,1.00325,1.002968,+
3.009637,-0.286281,-5.166219,-0.077613,3.706037,-2.485242,-5.975502,-2.796446,+
1.309781,-0.423847,-0.63168,0.666254,0.224113,0.715061,1.042424,0.388941,+
-2.943309,-0.57414,-0.759411,1.464574,1.877823,0.635089,1.029264,0.564219,+
1.550485,-0.025266,-1.333113,0.699009,-0.303876,1.092494,1.260941,0.44585,+
1.480884,-0.296888,0.516648,0.732272,0.275058,-0.974916,-0.440156,1.274965,+
1.311072,-0.414319,0.349744,1.165486,-0.694086,0.238943,0.77363,0.378239,+
-3.212521,-0.827466,-1.863331,1.320193,1.951257,0.291492,-0.961101,-1.821989,+
2.286543,0.452467,-1.816209,0.664958,-0.082991,-0.391325,-0.694289,0.658968,+
1.678126,-0.213528,-1.154114,-0.57955,-0.436539,1.0497,0.326736,0.204759,+
1.290234,-0.231252,0.620483,0.444847,-1.184624,-0.120039,-0.113617,-0.194905,+
0.907562,0.86407,0.642622,0.347816,-1.355637,0.337993,0.178042,-0.186026,+
1.704419,-0.260125,-1.043506,0.590048,0.485571,1.021381,0.971763,0.460052,+
-3.802769,-0.606139,0.772305,1.054948,0.368231,-0.378264,0.203057,-0.176167,+
-3.462291,-0.939141,0.187358,1.115033,-1.335166,-0.206757,-0.312765,-0.321598,+
1.506748,-0.175066,-0.798524,0.299422,2.216486,0.65475,0.836786,-0.414013,+
1.512296,-0.105648,-1.576501,0.438972,1.447948,0.289165,0.539614,0.431447,+
1.584872,-0.234313,-1.681468,0.048061,0.953652,0.605004,0.318258,0.534777,+
1.420868,-0.256092,-0.564595,-0.057233,-0.447943,0.896733,0.643666,-0.081483,+
-3.43233,-0.913098,0.186787,1.654068,-0.704975,-0.649943,0.001242,-0.066797,+
0.759933,1.091147,2.484901,0.680783,1.594651,-1.089007,-1.408282,1.768589,+
0.977027,-0.236162,0.846126,-0.291632,-1.560531,-0.527042,-0.862013,-0.641928,+
1.844378,-0.471292,-0.294036,0.092656,-2.057099,-0.14401,-0.524126,0.358812,+
1.702459,-0.67808,-0.309434,0.778357,-1.602682,-1.122143,-0.780767,0.163677,+
2.630644,0.403235,-3.049415,1.521328,1.732501,0.33406,0.678483,0.573801,+
1.114853,1.312683,1.677689,-0.57684,3.631821,1.87441,0.773112,0.71914,+
1.647487,-0.501795,0.195506,-0.055569,-2.099228,0.01779,-0.34003,0.271841,+
2.308944,-0.34803,-1.971813,0.444276,-0.409118,-1.005636,-1.040225,0.814237,+
1.94483,-0.322908,-0.476213,0.326334,-1.9429,-0.09612,-0.417503,0.526178,+
