@relation 'vote-weka.filters.supervised.attribute.NominalToBinary_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A517-M8'

@attribute -0.328el-salvador-aid+0.319aid-to-nicaraguan-contras-0.309physician-fee-freeze+0.298mx-missile+0.292adoption-of-the-budget-resolution+0.289anti-satellite-test-ban-0.286education-spending-0.284crime-0.274superfund-right-to-sue-0.258religious-groups-in-schools+0.245duty-free-exports+0.187handicapped-infants+0.176export-administration-act-south-africa+0.069synfuels-corporation-cutback-0.053water-project-cost-sharing-0.011immigration numeric
@attribute -0.627water-project-cost-sharing-0.534synfuels-corporation-cutback+0.352immigration+0.183anti-satellite-test-ban-0.174handicapped-infants+0.163education-spending+0.151mx-missile+0.142physician-fee-freeze+0.131crime-0.11religious-groups-in-schools+0.109export-administration-act-south-africa-0.098superfund-right-to-sue-0.096adoption-of-the-budget-resolution+0.046aid-to-nicaraguan-contras-0.041el-salvador-aid-0.016duty-free-exports numeric
@attribute 0.691immigration+0.404synfuels-corporation-cutback+0.355export-administration-act-south-africa+0.331religious-groups-in-schools+0.184adoption-of-the-budget-resolution-0.179handicapped-infants+0.151crime+0.109superfund-right-to-sue-0.097physician-fee-freeze+0.077aid-to-nicaraguan-contras+0.069water-project-cost-sharing-0.034duty-free-exports+0.029anti-satellite-test-ban-0.027education-spending+0.012el-salvador-aid+0.003mx-missile numeric
@attribute -0.549handicapped-infants+0.431synfuels-corporation-cutback-0.402water-project-cost-sharing+0.402duty-free-exports-0.316export-administration-act-south-africa-0.177immigration-0.148superfund-right-to-sue-0.099physician-fee-freeze+0.086religious-groups-in-schools-0.078anti-satellite-test-ban-0.073el-salvador-aid+0.055education-spending-0.046adoption-of-the-budget-resolution-0.041aid-to-nicaraguan-contras-0.023mx-missile-0.019crime numeric
@attribute '0.663export-administration-act-south-africa-0.488handicapped-infants-0.416immigration-0.216synfuels-corporation-cutback+0.214water-project-cost-sharing+0.145duty-free-exports+0.121religious-groups-in-schools+0.089anti-satellite-test-ban+0.062superfund-right-to-sue+0.059physician-fee-freeze+0.058education-spending+0.039aid-to-nicaraguan-contras-0.031crime+0.019el-salvador-aid+0.01 adoption-of-the-budget-resolution-0.001mx-missile' numeric
@attribute -0.499water-project-cost-sharing+0.414handicapped-infants+0.399export-administration-act-south-africa-0.342immigration+0.334synfuels-corporation-cutback+0.234crime-0.195duty-free-exports+0.153el-salvador-aid-0.149superfund-right-to-sue-0.141mx-missile+0.105religious-groups-in-schools-0.09aid-to-nicaraguan-contras+0.082education-spending-0.054physician-fee-freeze+0.048adoption-of-the-budget-resolution+0.046anti-satellite-test-ban numeric
@attribute -0.533duty-free-exports+0.375mx-missile+0.337religious-groups-in-schools-0.262immigration+0.261superfund-right-to-sue-0.256export-administration-act-south-africa+0.244aid-to-nicaraguan-contras+0.226adoption-of-the-budget-resolution-0.205el-salvador-aid-0.171handicapped-infants+0.163crime-0.162physician-fee-freeze+0.132anti-satellite-test-ban-0.073water-project-cost-sharing-0.037synfuels-corporation-cutback+0.012education-spending numeric
@attribute '0.474religious-groups-in-schools-0.414synfuels-corporation-cutback+0.388adoption-of-the-budget-resolution-0.355education-spending-0.268physician-fee-freeze+0.25 duty-free-exports-0.25anti-satellite-test-ban+0.19 el-salvador-aid-0.189mx-missile-0.147water-project-cost-sharing-0.139aid-to-nicaraguan-contras+0.099handicapped-infants-0.079export-administration-act-south-africa-0.046crime-0.011immigration-0.004superfund-right-to-sue' numeric
@attribute Class {democrat,republican}

@data
-2.543545,-1.120012,-0.86771,-1.854748,0.498313,0.71337,-0.503565,0.697147,republican
-4.063288,-0.032802,-0.206067,-0.048724,-1.168298,-1.820964,0.096052,-0.04147,republican
3.099528,0.077812,0.934636,0.222562,-1.016322,0.195295,-0.359383,-0.499834,democrat
2.873503,-1.058942,-1.208439,-1.219161,-0.228374,-0.130579,0.779201,-0.697115,democrat
3.330865,-0.680024,-1.592422,-0.713582,0.24018,-0.79575,-0.305303,0.1452,democrat
3.028952,0.741959,-1.471273,-0.873876,-0.150534,0.887439,0.82096,-0.110141,democrat
3.539492,0.708576,-1.543081,-0.035348,0.151653,0.480097,-0.291894,0.41258,democrat
2.967095,-1.784593,-0.659012,-0.633171,-0.521179,0.323199,0.729306,-1.259602,democrat
3.172769,-1.971973,-0.734209,0.228383,-0.21842,0.059941,-0.767197,-0.543528,democrat
2.916949,-0.586921,-1.325693,-1.725624,0.302571,-0.168905,0.666745,-0.420943,democrat
2.627463,0.528242,-1.669583,-0.677335,-0.51454,0.812021,0.578117,0.126634,democrat
1.716385,-0.623845,-1.019185,-1.718316,0.238424,0.606379,0.235939,-0.127874,democrat
-3.984684,-0.081966,-1.670777,0.730042,-0.555962,-0.607164,0.699656,0.135832,republican
3.574259,-1.758256,-0.5359,0.031842,0.145586,0.135359,-0.524354,-0.780303,democrat
-3.145815,-0.368217,-0.467246,-0.668008,1.661017,-0.066189,0.160736,-0.414402,republican
3.03859,-0.660913,-1.551313,-1.193624,0.067183,-0.562554,0.331785,-0.154048,democrat
-3.682384,-0.387871,-0.57156,-1.168939,-2.163323,-0.976929,-0.25315,0.161108,republican
0.367101,-1.873138,0.263934,-0.260615,-0.287469,1.451278,0.91808,-0.490648,democrat
-3.916518,-1.170753,0.655535,0.870214,-1.62747,-1.109357,0.017807,-0.92355,republican
-3.400672,-0.851927,1.696161,-0.056129,0.318907,0.062502,-0.733917,-1.155368,republican
-3.547442,0.286024,0.83456,-0.975067,0.778079,-0.649105,-0.655672,-0.273287,republican
-3.547442,0.286024,0.83456,-0.975067,0.778079,-0.649105,-0.655672,-0.273287,republican
-3.644065,0.226305,0.639639,-0.801553,0.413501,-0.868607,-0.514865,-0.229865,republican
2.959187,-0.120381,0.247562,-0.95396,-0.433326,-1.342838,-0.376356,0.763331,democrat
-4.040251,-0.741255,-1.598551,0.307469,-0.331166,-1.131242,0.623147,-0.018365,republican
2.820325,-0.646641,-1.520614,-1.55211,-0.062007,-0.388407,0.807551,-0.377521,democrat
3.063719,-1.724873,-0.464091,-0.806686,-0.156601,0.542702,0.5885,-1.303024,democrat
2.809777,-1.579898,-0.487671,-0.757731,-0.105016,0.615199,0.599414,-1.618253,democrat
-2.551318,-0.402378,-0.864604,-1.898818,0.803111,0.979092,-0.20691,-0.558964,republican
-2.785452,-1.185259,0.362491,0.140335,1.338964,0.846664,0.064047,-1.643623,republican
-4.063288,-0.032802,-0.206067,-0.048724,-1.168298,-1.820964,0.096052,-0.04147,republican
2.919359,-0.162281,-1.246096,-0.769359,0.508291,-0.358856,0.168252,0.248747,democrat
3.427489,-0.620304,-1.397501,-0.887096,0.604758,-0.576247,-0.446109,0.101778,democrat
2.879171,0.44759,-1.514372,-0.166669,-0.084596,-0.046092,0.386764,0.448774,democrat
1.816676,-0.453624,1.042513,-1.404876,-0.938778,0.228771,0.066594,-1.97056,republican
3.477635,-1.817976,-0.730821,0.205356,-0.218992,-0.084143,-0.383548,-0.736881,democrat
-0.105015,1.634257,0.125962,-1.840372,-0.845474,0.76265,-0.081708,-0.114,republican
2.530402,0.318927,1.72188,0.669077,-0.954881,1.210739,0.152009,0.412392,democrat
-2.713863,-1.712163,1.089975,0.659807,-1.729609,-1.181214,0.457618,0.620936,democrat
-2.259944,-1.40152,2.079154,0.225778,-0.146186,0.05305,0.205653,0.237644,democrat
-1.529705,-0.647994,2.239063,-0.282316,0.416992,-0.312306,1.002955,-1.028287,democrat
-1.18246,-2.039383,1.96429,-1.18361,-0.898506,0.945305,-0.310142,1.141552,democrat
-3.407814,1.528047,-1.049219,0.622487,-1.876466,-0.98696,-0.460623,-0.730242,republican
1.176512,1.773056,0.681457,-0.799215,-1.040601,0.858254,1.509702,0.070422,democrat
1.65851,0.772796,1.037018,-0.211301,-1.389687,1.711107,0.196112,-1.661301,democrat
-3.435438,1.614904,0.68898,-0.123319,0.324974,0.407239,-0.501457,0.037515,republican
-3.928248,0.587625,-1.744131,1.159218,-0.784271,-0.074898,0.777362,0.292437,republican
-4.00772,0.626488,-0.278292,0.373849,-1.393094,-1.296886,0.172561,0.112727,republican
-2.051317,-0.01292,2.128495,0.904012,-0.234713,1.328897,0.219061,0.505024,democrat
-3.951285,1.296078,-0.351647,0.803024,-1.621403,-0.76462,0.250267,0.269332,republican
-3.928248,0.587625,-1.744131,1.159218,-0.784271,-0.074898,0.777362,0.292437,republican
-0.35997,-1.00045,2.395392,-0.269291,0.278298,-0.093156,1.079087,0.03997,democrat
-3.186048,1.357646,0.526188,-0.016509,-0.109893,0.088953,-0.375523,0.51046,republican
3.516455,1.417029,-0.150597,-0.391541,-0.685479,-0.209625,-0.818989,0.389475,democrat
3.663225,0.279077,0.711005,0.527397,-1.144651,0.501982,-0.897234,-0.492606,democrat
2.590347,-1.197275,1.035673,-0.301241,-0.729138,0.023097,-1.619863,-0.471875,democrat
3.006168,0.18499,0.553629,0.612672,-1.224149,0.687347,-1.399348,-0.207597,democrat
-0.04114,-0.351559,-0.972309,-0.550914,-0.118342,1.800034,-0.426793,2.459343,democrat
0.410152,-1.110287,0.187869,1.004788,-0.151833,2.057463,-0.457234,1.366447,democrat
-2.27135,-0.641158,0.583268,1.298418,0.59446,1.97852,0.558379,0.205595,democrat
-0.517275,0.06478,1.275163,-0.092009,-1.316749,2.303351,-0.88851,0.148488,democrat
2.350442,-0.110437,0.764364,-1.901281,-0.279498,-0.636286,0.850539,0.555527,democrat
-3.898107,0.883777,-0.039472,1.135973,-1.78777,-0.506791,0.221917,-0.050262,republican
-1.686378,-0.676282,-0.231845,0.539575,-0.540669,3.069914,-0.606496,-0.0618,democrat
0.10846,-0.84257,0.26141,0.169437,-0.459883,3.092498,0.104184,0.971327,democrat
0.265025,-0.982194,0.221716,0.853505,-0.394519,2.014183,0.055499,1.33595,democrat
-0.888247,0.153758,-2.072269,0.675988,-1.917285,0.749851,0.261202,1.535735,democrat
0.488992,0.54717,1.314348,-0.737537,-0.37482,-0.451334,1.783681,-0.333349,democrat
2.982075,-2.133377,-0.594714,0.191572,-0.037339,0.040919,-0.795223,-0.268943,democrat
-3.524405,-0.422429,-0.557925,-0.618874,1.615211,0.040617,-0.128577,-0.250182,republican
-0.408079,0.267518,0.288997,0.479422,0.413326,-0.175306,0.291983,-0.12802,republican
3.386433,-0.020735,-1.664648,-0.291009,0.015384,-0.271672,-0.228793,0.299396,democrat
3.386433,-0.020735,-1.664648,-0.291009,0.015384,-0.271672,-0.228793,0.299396,democrat
3.135551,1.772099,0.214897,0.728673,0.309546,-1.053659,-0.469788,0.186897,democrat
-3.491874,0.945314,0.762334,-0.552494,0.553282,-0.125027,-0.579162,-0.119091,republican
1.827811,0.502077,0.784109,0.699713,0.429486,-1.29422,-0.464957,1.460933,democrat
-4.00772,0.626488,-0.278292,0.373849,-1.393094,-1.296886,0.172561,0.112727,republican
3.386433,-0.020735,-1.664648,-0.291009,0.015384,-0.271672,-0.228793,0.299396,democrat
2.193453,0.644174,1.03665,0.722136,0.606084,-0.956257,-0.319119,0.23149,democrat
3.686262,-0.429376,-0.681479,0.883591,-0.307519,1.191703,-0.370139,-0.469501,democrat
-1.405149,-0.369305,-1.183445,-2.174102,0.567783,0.856176,-0.452201,-0.758804,republican
2.578135,-1.069854,1.163264,0.955593,0.120553,-1.492837,-0.973116,-0.494626,democrat
-3.928248,0.587625,-1.744131,1.159218,-0.784271,-0.074898,0.777362,0.292437,republican
-2.91398,0.812361,0.957623,-0.250544,0.694249,-0.239847,-0.777106,0.581582,republican
-3.491874,0.945314,0.762334,-0.552494,0.553282,-0.125027,-0.579162,-0.119091,republican
-2.871741,1.81617,0.465349,0.181517,0.196644,0.713925,-1.039309,0.044742,republican
-2.430876,-0.024122,-0.838268,-1.40179,0.474887,1.223363,0.100845,-0.178417,republican
3.102152,0.394055,-1.104233,0.655691,1.374987,-0.896204,-0.020398,0.053396,democrat
-3.491874,0.945314,0.762334,-0.552494,0.553282,-0.125027,-0.579162,-0.119091,republican
-3.984684,-0.081966,-1.670777,0.730042,-0.555962,-0.607164,0.699656,0.135832,republican
2.636532,0.236375,1.463155,1.179579,0.013389,-0.387902,-0.287384,-0.946365,democrat
1.479021,-0.951276,1.781817,1.604868,0.151967,-0.457552,-0.954876,1.04679,democrat
1.739002,-0.166173,-0.834537,0.080423,0.309999,0.097288,0.676957,-0.614141,democrat
2.701534,-0.211742,-1.204844,-0.250274,0.198395,0.027671,0.017015,1.135418,democrat
0.900005,1.470211,1.238765,0.191555,0.014203,-0.032,1.421442,1.080534,democrat
-3.532062,1.555185,0.494059,0.050196,-0.039604,0.187737,-0.360651,0.080937,republican
-3.435438,1.614904,0.68898,-0.123319,0.324974,0.407239,-0.501457,0.037515,republican
-3.509025,0.846731,-0.898426,0.406389,0.797528,0.877459,0.166444,0.104042,republican
-3.951285,1.296078,-0.351647,0.803024,-1.621403,-0.76462,0.250267,0.269332,republican
-2.811318,-1.123746,1.382859,-0.017272,0.3842,-0.423915,-1.072271,-1.060792,republican
1.946292,1.142358,1.299126,0.441177,0.727624,-0.877169,0.501751,0.93529,democrat
1.492188,1.845332,1.29758,0.031825,0.197128,0.06244,1.69231,0.569175,democrat
2.996022,0.476607,-0.845509,0.145189,0.406716,0.702437,0.418995,1.412154,democrat
0.23461,2.365909,0.245724,-0.56194,0.170909,-0.676637,0.720509,-1.787218,republican
-1.356721,2.378584,0.881265,-0.056002,0.715441,-0.1467,0.564919,-0.923026,republican
-1.574986,2.392856,0.911965,-0.414488,0.58625,0.027447,1.040685,-1.146499,republican
2.146656,-0.380987,0.995072,0.356528,-0.22143,-0.638274,-0.983867,-1.81074,democrat
0.73643,1.314918,0.797282,-0.129089,0.041124,-0.788753,1.289812,-0.343743,democrat
1.710453,1.83106,1.26688,0.390311,0.326319,-0.111706,1.216544,0.792647,democrat
-3.524405,-0.422429,-0.557925,-0.618874,1.615211,0.040617,-0.128577,-0.250182,republican
0.779846,2.384062,0.31739,0.595387,0.47472,-0.802072,-0.033393,-1.459393,democrat
-3.400672,-0.851927,1.696161,-0.056129,0.318907,0.062502,-0.733917,-1.155368,republican
2.571854,1.570833,0.438528,0.423837,0.437875,-1.360345,0.068064,0.17967,democrat
-3.166538,-0.069045,0.469066,-2.095281,-0.216946,0.19493,-1.004873,-0.070709,republican
-2.195723,-2.241754,-0.837532,-0.063212,-1.845022,0.096074,1.227809,-0.17879,democrat
1.470967,-1.503089,2.084467,0.831294,0.503946,-1.577183,0.275625,0.497721,democrat
1.075261,0.506115,2.382812,0.645928,-0.133715,0.467361,2.151917,-0.320134,democrat
-4.040251,-0.741255,-1.598551,0.307469,-0.331166,-1.131242,0.623147,-0.018365,republican
-3.133987,-2.180064,-1.011765,0.057059,-1.739557,0.317593,0.485013,-0.862087,republican
-3.067164,-0.721204,-1.905231,-0.972475,-1.143265,-0.192767,0.544814,-0.327147,republican
1.031791,-1.992211,0.614419,1.00735,0.701852,-0.434825,1.517682,0.212431,democrat
-4.063288,-0.032802,-0.206067,-0.048724,-1.168298,-1.820964,0.096052,-0.04147,republican
1.333763,-0.833965,1.994725,0.213251,-0.127577,-0.542915,1.252814,-0.347036,democrat
-2.379212,-0.746789,-0.430551,0.422794,1.797149,-0.2561,-0.908266,0.822394,democrat
-2.185565,0.990596,-0.445508,0.276284,1.224782,1.302027,0.629671,0.099116,democrat
-1.548101,-1.675132,0.940405,0.248727,1.23845,1.056715,0.86281,-0.294033,democrat
-2.932222,-0.047308,-0.499111,-0.778604,1.798136,0.135057,0.142292,-0.761542,republican
-2.481739,-1.557693,1.334929,-0.799689,-1.160945,0.79766,-0.609148,-0.359512,democrat
1.966527,-1.187687,1.948361,0.845078,0.322293,-1.702245,0.6873,0.029783,democrat
-0.128358,1.698029,0.622969,-0.439922,-0.214036,1.159117,-1.262783,0.773407,republican
0.018412,0.560077,1.484571,0.479017,-0.673208,1.870724,-1.341029,-0.108674,republican
-1.18462,0.580681,-0.529,0.988345,0.99643,0.109392,0.262562,1.783604,democrat
2.563332,0.58428,1.096116,-0.349988,-1.512132,1.395741,0.553974,-1.109903,democrat
3.175239,0.844227,-1.060679,0.027457,-0.714482,-0.128316,-0.534196,0.665404,democrat
-3.491874,0.945314,0.762334,-0.552494,0.553282,-0.125027,-0.579162,-0.119091,republican
2.7362,0.340623,0.474474,-0.278467,0.828068,-2.266338,-0.349829,-0.127589,democrat
-2.654016,0.185976,1.749764,0.99876,-0.254447,1.229472,-0.246538,-0.29471,democrat
3.386433,-0.020735,-1.664648,-0.291009,0.015384,-0.271672,-0.228793,0.299396,democrat
3.023548,0.443219,0.360477,-0.123076,0.762651,-2.110003,-0.624002,-0.123905,democrat
1.911545,2.334894,0.329017,0.486676,0.364501,-0.677868,-0.464598,-0.457535,republican
3.028379,0.779122,1.052919,1.696567,-0.098041,-0.269555,-0.537118,-1.010413,democrat
3.100146,0.562433,0.696421,1.374856,-0.9025,-0.115926,-0.550687,-0.877435,democrat
3.516455,1.417029,-0.150597,-0.391541,-0.685479,-0.209625,-0.818989,0.389475,democrat
2.923196,0.141713,-0.404699,0.007126,-0.191314,-0.599635,0.308761,-0.444129,democrat
3.282321,0.634147,1.076499,1.647611,-0.149626,-0.342053,-0.548033,-0.695184,democrat
3.483056,0.038985,-1.469727,-0.464524,0.379962,-0.05217,-0.369599,0.255974,democrat
0.304866,0.153997,0.003389,-0.023026,-0.000572,-0.144084,0.383649,-0.193353,democrat
3.282321,0.634147,1.076499,1.647611,-0.149626,-0.342053,-0.548033,-0.695184,democrat
3.262513,1.562004,-0.174176,-0.342586,-0.633894,-0.137127,-0.808075,0.074246,democrat
3.170318,-0.694733,1.222079,0.795863,0.303479,-1.398397,-0.702248,-1.005986,democrat
3.442868,0.648856,-1.738002,0.138166,-0.212925,0.260594,-0.151088,0.456002,democrat
-1.440702,0.375677,-1.114707,-0.880076,0.359512,1.074506,-0.226925,-0.419339,republican
3.539492,0.708576,-1.543081,-0.035348,0.151653,0.480097,-0.291894,0.41258,democrat
-3.565461,0.177141,-0.825072,-0.022786,1.025836,0.345192,0.088739,-0.052564,republican
-3.265475,0.280517,0.730317,-0.850687,0.459306,-0.975413,-0.225552,-0.394084,republican
1.569836,0.16444,0.316157,2.240232,0.857541,0.957001,0.562707,-0.566815,democrat
3.158588,1.063645,-1.177588,1.084866,1.146678,-0.363938,0.057307,0.210002,democrat
2.460384,0.362303,1.707374,1.864289,0.071745,-0.041153,-0.049944,0.42518,democrat
-3.509025,0.846731,-0.898426,0.406389,0.797528,0.877459,0.166444,0.104042,republican
1.475954,0.248337,0.444259,2.434659,0.63457,1.008205,1.194899,-0.468411,democrat
-1.725522,0.605169,0.973143,-0.458066,0.322815,0.109802,-0.677202,1.432623,republican
2.898349,0.471831,0.995575,1.665734,-0.448788,-0.71789,-0.133053,-0.655446,democrat
2.570071,-1.773077,-1.112941,0.32313,-0.238155,-0.039484,-1.232795,-1.343262,democrat
2.569235,1.335464,-0.864285,1.046009,1.081384,0.122479,0.395661,0.115426,democrat
3.427489,-0.620304,-1.397501,-0.887096,0.604758,-0.576247,-0.446109,0.101778,democrat
3.119755,0.047108,1.408578,0.707934,-0.889588,0.724322,-0.186345,0.506968,democrat
3.516455,1.417029,-0.150597,-0.391541,-0.685479,-0.209625,-0.818989,0.389475,democrat
-2.21752,1.082676,-0.265959,-0.021603,1.364765,1.290826,0.762105,0.348994,republican
1.481585,1.916027,0.928569,0.186342,0.384295,-0.252695,1.379743,-0.081001,democrat
-2.871741,1.81617,0.465349,0.181517,0.196644,0.713925,-1.039309,0.044742,republican
-2.518787,0.965365,0.455655,-1.832439,-0.258817,0.813448,-0.657495,-0.427873,republican
2.904646,1.20862,-1.201167,1.133821,1.198263,-0.29144,0.068222,-0.105227,democrat
3.040682,-1.016419,0.928393,-1.162879,-0.993733,-0.14702,0.061405,-1.326128,democrat
2.615118,0.831676,-0.480015,1.265403,1.401741,-0.141598,0.768197,1.209576,democrat
-3.547442,0.286024,0.83456,-0.975067,0.778079,-0.649105,-0.655672,-0.273287,republican
3.305358,-0.074306,-0.315986,2.003805,0.687506,0.347669,-0.020938,-0.672079,democrat
1.494004,-2.211542,0.691982,1.187488,1.341078,-0.887462,0.80272,0.520826,democrat
-3.166538,-0.069045,0.469066,-2.095281,-0.216946,0.19493,-1.004873,-0.070709,republican
-2.384057,-1.143927,1.808163,0.861166,0.27625,-0.464918,-1.240366,0.210509,democrat
-0.045272,-0.638524,0.615734,-0.80881,-0.630628,-0.231243,-1.356286,2.402712,democrat
-4.063288,-0.032802,-0.206067,-0.048724,-1.168298,-1.820964,0.096052,-0.04147,republican
3.43961,-0.433036,-1.352473,0.04194,-0.150983,-0.013844,-0.257143,-0.020198,democrat
